Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Entities_Raw
https://www.bbc.com/mundo,es,Caso Wallace: las dudas y controversias que aún rodean a uno de los secuestros más mediáticos de la historia de México,Wallace case: the doubts and controversies that still surround one of the most media kidnappings in the history of Mexico,0.5,"[('Wallace', 'PERSON'), ('one', 'CARDINAL'), ('Mexico', 'GPE')]"
https://www.bbc.com/mundo,es,Mueren al menos 4 personas en un tiroteo y un incendio en una iglesia mormona en Michigan,At least 4 people die in a shooting and a fire in a Mormon church in Michigan,-0.3,"[('At least 4', 'CARDINAL'), ('Mormon', 'NORP'), ('Michigan', 'GPE')]"
https://www.bbc.com/mundo,es,Bad Bunny actuará en el espectáculo del medio tiempo del Super Bowl en febrero,Bad Bunny will perform in the mid -time show of the Super Bowl in February,-0.12222222222222218,"[('Bad Bunny', 'PERSON'), ('the Super Bowl', 'EVENT'), ('February', 'DATE')]"
https://www.bbc.com/mundo,es,"""Un reto de ingeniería extremo"": la extraordinaria inversión de las grandes empresas de IA en centros de datos a ""hiperescala""","""An extreme engineering challenge"": the extraordinary investment of large companies in data centers to ""hyperscale""",0.14087301587301584,[]
https://www.bbc.com/mundo,es,"El rey que murió asesinado cuando iba a besar a su sobrino, en un regicidio que sacudió a Arabia Saudita hace 50 años","The king who died murdered when he was going to kiss his nephew, in a regicide that shook Saudi Arabia 50 years ago",0.0,"[('Saudi Arabia', 'GPE'), ('50 years ago', 'DATE')]"
https://www.bbc.com/hindi,hi,हार्ट अटैक के रिस्क को कम करने और दिल को सेहतमंद रखने का ये हो सकता है तरीका,This may be the way to reduce the risk of heart attack and keep the heart healthy,0.5,[]
https://www.bbc.com/hindi,hi,"लाइव,क्रिस वोक्स ने अंतरराष्ट्रीय क्रिकेट से रिटायरमेंट का एलान किया","Live, Chris Woakes announced retirement from international cricket",0.06818181818181818,"[('Chris Woakes', 'PERSON')]"
https://www.bbc.com/hindi,hi,अमेरिका को भारत के बजाय पाकिस्तान से दोस्ती करने में क्यों फ़ायदा नज़र आ रहा है?,Why is America a benefit in befriending Pakistan instead of India?,0.0,"[('America', 'GPE'), ('Pakistan', 'GPE'), ('India', 'GPE')]"
https://www.bbc.com/hindi,hi,एशिया कप फ़ाइनल में टीम की परफॉर्मेंस देख भड़के पूर्व पाकिस्तानी क्रिकेटर क्या कह रहे हैं,"Seeing the team's performance in the Asia Cup final, what are the former Pakistani cricketers saying",0.0,"[('Pakistani', 'NORP')]"
https://www.bbc.com/hindi,hi,माओवादियों के ख़िलाफ़ मोर्चे पर तैनात डीआरजी का आँखों देखा हाल और आदिवासियों की आपबीती- ग्राउंड रिपोर्ट,The eyes of the DRG stationed on the front against the Maoists and the tribals' incidents- ground report,0.0,"[('DRG', 'ORG'), ('Maoists', 'NORP')]"
