Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_05_17,https://www.bbc.com/mundo,es,"El gobierno de Venezuela extradita a EE.UU. al empresario colombiano Alex Saab, aliado y supuesto testaferro de Nicolás Maduro","The government of Venezuela extradites to the United States Colombian businessman Alex Saab, ally and alleged figurehead of Nicolás Maduro",0.0,neutral,"[('Venezuela', 'GPE'), ('the United States', 'GPE'), ('Colombian', 'NORP'), ('Alex Saab', 'PERSON'), ('Nicolás', 'ORG')]"
2026_05_17,https://www.bbc.com/mundo,es,Qué fue la Revolución Cultural de Mao Zedong y cómo marcó la historia de China hace 60 años,What was Mao Zedong's Cultural Revolution and how it marked the history of China 60 years ago,0.0,neutral,"[(""Mao Zedong's"", 'PERSON'), ('Cultural Revolution', 'EVENT'), ('China', 'GPE'), ('60 years ago', 'DATE')]"
2026_05_17,https://www.bbc.com/mundo,es,"""En la ruina y profundamente endeudado"": así murió, hace 100 años, Mehmed VI, el último sultán del Imperio otomano","""In ruin and deeply in debt"": this is how Mehmed VI, the last sultan of the Ottoman Empire, died 100 years ago",0.0,neutral,"[('Mehmed VI', 'ORG'), ('the Ottoman Empire', 'GPE'), ('100 years ago', 'DATE')]"
2026_05_17,https://www.bbc.com/mundo,es,"Suiza abrirá sus archivos secretos sobre Joseph Mengele, pero ¿cuál es la relación del ""Ángel de la muerte nazi"" con ese país?","Switzerland will open its secret files on Joseph Mengele, but what is the relationship of the ""Nazi Angel of Death"" with that country?",-1.0,negative,"[('Switzerland', 'GPE'), ('Joseph Mengele', 'PERSON'), ('the ""Nazi Angel of Death', 'LAW')]"
2026_05_17,https://www.bbc.com/mundo,es,Muere un buzo que intentaba rescatar los cuerpos de los 5 italianos que se ahogaron en las Maldivas,A diver dies who was trying to rescue the bodies of the 5 Italians who drowned in the Maldives,0.0,neutral,"[('5', 'CARDINAL'), ('Italians', 'NORP'), ('Maldives', 'ORG')]"
2026_05_17,https://www.bbc.com/mundo,es,"Trump advierte a Taiwán que no puede declarar su independencia y el gobierno taiwanés responde que es ""un país soberano""","Trump warns Taiwan that it cannot declare its independence and the Taiwanese government responds that it is ""a sovereign country""",-1.0,negative,"[('Taiwan', 'GPE'), ('Taiwanese', 'NORP')]"
2026_05_17,https://www.bbc.com/mundo,es,La trágica muerte de 5 buceadores italianos mientras exploraban unas cuevas en Maldivas,The tragic death of 5 Italian divers while exploring caves in the Maldives,-1.0,negative,"[('5', 'CARDINAL'), ('Italian', 'NORP'), ('Maldives', 'ORG')]"
2026_05_17,https://www.bbc.com/mundo,es,"Con el 100% de las actas escrutadas, Keiko Fujimori y Roberto Sánchez se disputarán la presidencia de Perú el 7 de junio","With 100% of the minutes scrutinized, Keiko Fujimori and Roberto Sánchez will compete for the presidency of Peru on June 7",0.0,neutral,"[('100%', 'PERCENT'), ('Keiko Fujimori', 'PERSON'), ('Roberto Sánchez', 'PERSON'), ('Peru', 'GPE'), ('June 7', 'DATE')]"
2026_05_17,https://www.bbc.com/mundo,es,"""Un verdadero milagro"": rescatan a 11 personas con vida después de que su avión se estrellara en el Atlántico","""A true miracle"": 11 people rescued alive after their plane crashed in the Atlantic",0.0,neutral,"[('11', 'CARDINAL'), ('Atlantic', 'LOC')]"
2026_05_17,https://www.bbc.com/mundo,es,Qué opinan los críticos de China dentro del movimiento MAGA sobre el viaje de Trump a Pekín,What China critics within the MAGA movement think about Trump's trip to Beijing,0.0,neutral,"[('China', 'GPE'), ('MAGA', 'ORG'), ('Trump', 'ORG'), ('Beijing', 'GPE')]"
