Scrape_Date,Source_Name,Source_URL,Source_Language_Code,Source_Region,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Cómo Putin se obsesionó con controlar hasta el último detalle de su imagen pública,How Putin became obsessed with controlling every last detail of his public image,0.0,neutral,"[('Putin', 'PERSON')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"""Super El Niño"": los gráficos que muestran por qué puede ser el fenómeno más extremo en décadas (y cuáles serían sus efectos)","""Super El Niño"": the graphs that show why it may be the most extreme phenomenon in decades (and what its effects would be)",0.0,neutral,"[('decades', 'DATE')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"""Miraba dónde vivía y pensaba: ¿cómo eso va a pasar?"": el inesperado éxito de Yudi Heredia, la música cubana que conquistó a Rosalía y dirige la orquesta del Lux Tour","""I looked where I lived and thought: how is that going to happen?"": the unexpected success of Yudi Heredia, the Cuban musician who conquered Rosalía and directs the Lux Tour orchestra",1.0,positive,"[('Yudi Heredia', 'PERSON'), ('Cuban', 'NORP'), ('Rosalía', 'GPE')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"Diabetes tipo 5, la nueva y desconocida categoría de la enfermedad que divide a científicos y médicos","Type 5 diabetes, the new and unknown category of the disease that divides scientists and doctors",0.0,neutral,"[('5', 'CARDINAL')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"""Pasé de llorar con su hija, a verlo llegar arrastrándose"": el emocionante relato del escalador que perdió al guía que sobrevivió solo durante 6 días en el Everest","""I went from crying with his daughter to seeing him arrive crawling"": the moving story of the climber who lost the guide who survived alone for 6 days on Everest",0.0,neutral,"[('6 days', 'DATE'), ('Everest', 'LOC')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"El sherpa dado por muerto en el Everest que fue encontrado ""milagrosamente"" cuando descendía por el hielo a rastras","The Sherpa presumed dead on Everest who was found ""miraculously"" while crawling down the ice",0.0,neutral,"[('Sherpa', 'ORG'), ('Everest', 'LOC')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Qué supone para Cuba la retirada de las principales multinacionales hoteleras que operaban en el país,What does the withdrawal of the main hotel multinationals that operated in the country mean for Cuba?,0.0,neutral,"[('Cuba', 'GPE')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Cómo el Mundial de fútbol expone la tensa relación que mantienen los 3 países vecinos de Norteamérica,How the World Cup exposes the tense relationship between the three neighboring countries of North America,0.0,neutral,"[('the World Cup', 'EVENT'), ('three', 'CARDINAL'), ('North America', 'LOC')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Zelensky propone conversaciones cara a cara con Putin en una carta abierta al presidente ruso,Zelensky proposes face-to-face talks with Putin in open letter to Russian president,0.0,neutral,"[('Zelensky', 'PERSON'), ('Putin', 'PERSON'), ('Russian', 'NORP')]"
2026_06_05,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"Muere ""de tristeza"" a los 56 años Marjane Satrapi, la novelista gráfica y cineasta franco-iraní de ""Persépolis""","Marjane Satrapi, the French-Iranian graphic novelist and filmmaker of ""Persepolis,"" dies ""of sadness"" at the age of 56",0.0,neutral,"[('Marjane Satrapi', 'PERSON'), ('French', 'NORP'), ('Iranian', 'NORP'), ('the age of', 'DATE')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,राजेश एक्सपोर्ट्स: 15 लाख करोड़ रुपए की 'फ़र्जी कमाई' दिखाने वाली कंपनी में एलआईसी के भारी निवेश पर उठे सवाल,Rajesh Exports: Questions raised on LIC's huge investment in a company showing 'fake earnings' of Rs 15 lakh crore,1.0,positive,"[('LIC', 'ORG'), ('15', 'CARDINAL')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,"लाइव,भारत ने बांग्लादेश के 'जबरन लोगों को सीमा पार भेजने' के आरोपों पर क्या जवाब दिया?","Live, How did India respond to Bangladesh's allegations of 'forcibly sending people across the border'?",0.0,neutral,"[('India', 'GPE'), ('Bangladesh', 'GPE')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,इस गांव में फ़ोन चार्ज करने के लिए 45 किलोमीटर दूर जाने को मजबूर हैं लोग,People are forced to go 45 kilometers away to charge their phones in this village.,0.0,neutral,"[('45 kilometers', 'QUANTITY')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,"कॉकरोच जनता पार्टीः जंतर-मंतर पर धरना-प्रदर्शन की अपील, दिल्ली पुलिस के क्या हैं नियम","Cockroach Janata Party: Appeal for protest at Jantar Mantar, what are the rules of Delhi Police?",0.0,neutral,"[('Cockroach Janata Party', 'ORG'), ('Jantar Mantar', 'PERSON'), ('Delhi', 'GPE')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,"कुवैत एयरपोर्ट हमले में उज्जैन के शख़्स की मौत, शादी में शामिल होने भारत आ रहे थे","Ujjain man dies in Kuwait airport attack, was coming to India to attend wedding",-1.0,negative,"[('Kuwait', 'GPE'), ('India', 'GPE')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,ममता बनर्जी से मुसलमान विधायक भी दूरी क्यों बना रहे हैं?,Why are Muslim MLAs also keeping distance from Mamata Banerjee?,0.0,neutral,"[('Muslim', 'NORP'), ('Mamata Banerjee', 'ORG')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,दिल्ली आग हादसाः पिता और बेटे ने  समझदारी से बचाई कई लोगों की जान,Delhi fire accident: Father and son wisely saved the lives of many people,0.0,neutral,"[('Delhi', 'GPE')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,"पुतिन ने क्यों कहा, अमेरिका भारत पर बेकार दबाव बना रहा",Why did Putin say America is putting unnecessary pressure on India?,0.0,neutral,"[('Putin', 'PERSON'), ('America', 'GPE'), ('India', 'GPE')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,दिल्ली से चेन्नई तक: भारतीय शहर क्यों गर्म होते जा रहे हैं,From Delhi to Chennai: Why Indian cities are getting hotter,0.0,neutral,"[('Delhi', 'GPE'), ('Indian', 'NORP')]"
2026_06_05,BBC Hindi,https://www.bbc.com/hindi,hi,South Asia,"'सरकार ने नीट ठीक से कराई होती तो मेरी बेटी ज़िंदा होती', नागपुर की स्टूडेंट ने की आत्महत्या, पुलिस ने क्या बताया?","'Had the government conducted NEET properly, my daughter would have been alive', Nagpur student commits suicide, what did the police tell?",0.0,neutral,"[('NEET', 'ORG'), ('Nagpur', 'ORG')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"O que aconteceu no México, na Colômbia e na Venezuela após  organizações serem classificadas como terroristas pelos EUA","What happened in Mexico, Colombia and Venezuela after organizations were classified as terrorist by the US",-1.0,negative,"[('Mexico', 'GPE'), ('Colombia', 'GPE'), ('Venezuela', 'GPE'), ('US', 'GPE')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"Como fui enganada por mulher que dizia ser uma adolescente de 12 anos com autismo : 'Dei carinho, afeto, comida. Não tinha como desconfiar'","How I was deceived by a woman who claimed to be a 12-year-old teenager with autism: 'I gave affection, food. There was no way to suspect",0.0,neutral,"[('12-year-old', 'DATE')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,O sherpa dado como morto e encontrado 'milagrosamente' 6 dias após desaparecer no Everest,Sherpa presumed dead and 'miraculously' found 6 days after disappearing on Everest,0.0,neutral,"[('6 days', 'DATE'), ('Everest', 'LOC')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"'Aos 10 anos, me preparava para ser prisioneira política': Marjane Satrapi, a autora que retratou transformação do Irã sob a Revolução Islâmica","'At 10 years old, I was preparing to be a political prisoner': Marjane Satrapi, the author who portrayed Iran's transformation under the Islamic Revolution",0.0,neutral,"[('10 years old', 'DATE'), ('Marjane Satrapi', 'PERSON'), ('Iran', 'GPE'), ('the Islamic Revolution', 'LAW')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"Quem foi Catulo da Paixão Cearense, o violeiro que traduziu o popular para a elite","Who was Catulo da Paixão Cearense, the guitarist who translated the popular for the elite",0.0,neutral,"[('Catulo da Paixão Cearense', 'PERSON')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"'Pix americano'? O que é o Zelle, sistema de pagamentos citado por Eduardo Bolsonaro para negociação entre Brasil e EUA","'American Pix'? What is Zelle, a payment system mentioned by Eduardo Bolsonaro for negotiations between Brazil and the USA",0.0,neutral,"[('American', 'NORP'), ('Zelle', 'PERSON'), ('Eduardo Bolsonaro', 'PERSON'), ('Brazil', 'GPE')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"Afinal, quem criou o Pix? Como nasceu o sistema de pagamentos que está na mira do governo Trump","After all, who created Pix? How the payment system that is in the Trump administration's sights was born",0.0,neutral,"[('Trump', 'PERSON')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,"Zelensky propõe encontro com Putin e cessar-fogo: 'A escolha agora é sua, chega de guerra'","Zelensky proposes meeting with Putin and ceasefire: 'The choice is yours now, no more war'",-1.0,negative,"[('Zelensky', 'PERSON'), ('Putin', 'PERSON')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,Quem está à frente nas pesquisas para presidente? Veja no agregador da BBC News Brasil,Who is ahead in the polls for president? See on the BBC News Brasil aggregator,0.0,neutral,"[('BBC News', 'ORG')]"
2026_06_05,BBC Portuguese,https://www.bbc.com/portuguese,pt,Latin America,Por que Padre Zezinho está (de novo) na mira de católicos tradicionalistas: 'Falam que sou um câncer para a Igreja',Why Father Zezinho is (again) in the crosshairs of traditionalist Catholics: 'They say I'm a cancer for the Church',0.0,neutral,"[('Zezinho', 'PERSON'), ('Catholics', 'NORP'), ('Church', 'ORG')]"
2026_06_05,BBC Russian,https://www.bbc.com/russian,ru,Eastern Europe,Apple удалила мессенджер «Макс» из App Store. В компании объяснили это соблюдением санкций,Apple has removed the Max messenger from the App Store. The company explained this by compliance with sanctions,0.0,neutral,"[('Apple', 'ORG'), ('Max', 'PERSON'), ('App Store', 'PERSON')]"
2026_06_05,BBC Russian,https://www.bbc.com/russian,ru,Eastern Europe,"Бунт машин? Компания-разработчик ИИ Anthropic призывает техгигантов «нажать на тормоз» в развитии технологий, пока системы не вышли из-под контроля человека",Riot of cars? AI developer Anthropic calls on tech giants to “pull the brakes” on technology development before systems get out of human control,0.0,neutral,"[('Riot', 'PERSON')]"
2026_06_05,BBC Russian,https://www.bbc.com/russian,ru,Eastern Europe,"LIVELive,Война в Украине: четыре человека погибли при атаке на завод детского питания в Киевской области, сообщили власти","LIVELive,War in Ukraine: four people died in an attack on a baby food factory in the Kyiv region, authorities said",-1.0,negative,"[('War', 'GPE'), ('Ukraine', 'GPE'), ('four', 'CARDINAL')]"
