Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Entities_Raw
2025_10_31,https://www.bbc.com/mundo,es,"""Les dispararon a mis hijos delante de mis ojos"": los testimonios desgarradores de quienes huyen de la ciudad sudanesa de El Fasher","""They shot my children before my eyes"": the heartbreaking testimonies of those fleeing the Sudanese city of El Fasher",0.0,"[('Sudanese', 'NORP'), ('El Fasher', 'ORG')]"
2025_10_31,https://www.bbc.com/mundo,es,Comando Vermelho: cómo drones y fusiles importados acaban en manos del crimen organizado en Brasil y están transformando el conflicto urbano,Comando Vermelho: how imported drones and rifles end up in the hands of organized crime in Brazil and are transforming the urban conflict,0.0,"[('Comando Vermelho:', 'PERSON'), ('Brazil', 'GPE')]"
2025_10_31,https://www.bbc.com/mundo,es,"El rey Carlos le quita el título de príncipe a su hermano Andrés, que tiene que abandonar su mansión de Windsor","King Charles removes the title of prince from his brother Andrew, who has to leave his Windsor mansion",0.0,"[('Charles', 'PERSON'), ('Andrew', 'PERSON'), ('Windsor mansion', 'LOC')]"
2025_10_31,https://www.bbc.com/mundo,es,"La familia de la mujer que murió tras ser abandonada por un crucero en una isla remota denuncia la ""falta de cuidado"" de la empresa responsable del viaje","The family of the woman who died after being abandoned by a cruise ship on a remote island denounces the ""lack of care"" of the company responsible for the trip",0.05,[]
2025_10_31,https://www.bbc.com/mundo,es,"""Bohemian Rhapsody"": cómo Queen creó su mítica canción hace 50 años","""Bohemian Rhapsody"": how Queen created their legendary song 50 years ago",1.0,"[('50 years ago', 'DATE')]"
2025_10_31,https://www.bbc.com/hindi,hi,क्या किसी प्रेग्नेंट महिला के लिए 145 किलो वज़न उठाना सुरक्षित है? दिल्ली पुलिस की सोनिका यादव के वायरल वीडियो पर बहस,Is it safe for a pregnant woman to lift 145 kg? Debate on Delhi Police's viral video of Sonika Yadav,0.41666666666666663,"[('145 kg', 'QUANTITY'), (""Delhi Police's"", 'ORG'), ('Sonika Yadav', 'PERSON')]"
2025_10_31,https://www.bbc.com/hindi,hi,"किंग चार्ल्स ने अपने भाई एंड्रयू से छीनी 'प्रिंस' की उपाधि, शाही महल से भी होंगे बाहर","King Charles snatches the title of 'Prince' from his brother Andrew, will also be out of the royal palace",0.0,"[('Charles', 'PERSON'), ('Andrew', 'PERSON')]"
2025_10_31,https://www.bbc.com/hindi,hi,"लाइव,विराट कोहली ने भारतीय महिला क्रिकेट टीम को बधाई दी, ये कहा","Live, Virat Kohli congratulated the Indian women's cricket team, said this",0.13636363636363635,"[('Virat Kohli', 'ORG'), ('Indian', 'NORP')]"
2025_10_31,https://www.bbc.com/hindi,hi,सरदार पटेल पर मुस्लिम विरोधी होने के आरोपों में कितना दम?,How much truth is there in the allegations against Sardar Patel of being anti-Muslim?,0.2,"[('Sardar Patel', 'PERSON'), ('anti-Muslim', 'NORP')]"
2025_10_31,https://www.bbc.com/hindi,hi,"महिला वर्ल्ड कप: भारतीय टीम की मुरीद हुई दुनिया, किसने क्या कहा","Women's World Cup: The world admired the Indian team, who said what?",0.0,"[(""Women's World Cup"", 'ORG'), ('Indian', 'NORP')]"
2025_10_31,https://www.bbc.com/hindi,hi,जेमिमा और हरमनप्रीत की पार्टनरशिप कैसे सात बार की चैंपियन ऑस्ट्रेलिया पर पड़ी भारी,How Jemima and Harmanpreet's partnership cost seven-time champions Australia,0.0,"[('Jemima', 'PERSON'), ('Harmanpreet', 'ORG'), ('seven', 'CARDINAL'), ('Australia', 'GPE')]"
2025_10_31,https://www.bbc.com/hindi,hi,"महिला वर्ल्ड कप: जेमिमा की करिश्माई पारी से फ़ाइनल में भारत, ऑस्ट्रेलिया को पांच विकेट से हराया",Women's World Cup: Jemima's charismatic innings helped India defeat Australia by five wickets in the final.,0.25,"[(""Women's World Cup"", 'ORG'), ('Jemima', 'ORG'), ('India', 'GPE'), ('Australia', 'GPE'), ('five', 'CARDINAL')]"
2025_10_31,https://www.bbc.com/hindi,hi,"मुंबई: कई घंटों तक बच्चों को बंधक बनाने वाले किडनैपर की मौत, अब तक क्या-क्या पता चला?","Mumbai: Kidnapper who held children hostage for several hours dies, what is known so far?",0.05,"[('Mumbai', 'GPE'), ('several hours', 'TIME')]"
2025_10_31,https://www.bbc.com/hindi,hi,"भोपाल: सीनियर पुलिस अधिकारी पर चोरी का आरोप, सीसीटीवी में कैद हुई घटना","Bhopal: Senior police officer accused of theft, incident captured in CCTV",0.0,"[('CCTV', 'ORG')]"
2025_10_31,https://www.bbc.com/portuguese,pt,Por que polícia do Rio ainda não divulgou lista de mortos e presos na operação contra o CV,Why the Rio police have not yet released a list of those killed and arrested in the operation against the CV,-0.2,"[('Rio', 'ORG'), ('CV', 'ORG')]"
2025_10_31,https://www.bbc.com/portuguese,pt,"'Operação foi atuação do governador do Rio para preencher vazio na política da direita', diz professor de Cambridge","'The operation was an action by the governor of Rio to fill a void in right-wing politics', says Cambridge professor",0.1,"[('Rio', 'ORG'), ('Cambridge', 'GPE')]"
2025_10_31,https://www.bbc.com/portuguese,pt,"Doca, o número 2 do CV que driblou a maior e mais letal operação policial da história do Brasil","Doca, CV's number 2 who circumvented the largest and most lethal police operation in the history of Brazil",0.5,"[('CV', 'PERSON'), ('2', 'CARDINAL'), ('Brazil', 'GPE')]"
2025_10_31,https://www.bbc.com/portuguese,pt,"Trump elogia encontro 'incrível' com Xi Jinping, mas termina sem acordo comercial formal","Trump praises 'incredible' meeting with Xi Jinping, but ends without formal trade agreement",0.9,"[('Xi Jinping', 'PERSON')]"
2025_10_31,https://www.bbc.com/portuguese,pt,'Não se destrói uma lenda com ciência': a centenária busca pelo Monstro do Lago Ness,'You can't destroy a legend with science': the century-old search for the Loch Ness Monster,-0.2,"[('century-old', 'DATE'), ('the Loch Ness Monster', 'ORG')]"
2025_10_31,https://www.bbc.com/portuguese,pt,Por que Trump decidiu retomar testes de armas nucleares após 30 anos,Why Trump decided to resume nuclear weapons testing after 30 years,0.0,"[('Trump', 'PERSON'), ('30 years', 'DATE')]"
2025_10_31,https://www.bbc.com/portuguese,pt,"Uso de drones por facções pode transformar conflito urbano em batalha aérea, diz pesquisador","Use of drones by factions could transform urban conflict into aerial battle, says researcher",0.0,[]
2025_10_31,https://www.bbc.com/portuguese,pt,"'Vi corpo sem cabeça, corpos totalmente desfigurados': o fotógrafo que acompanhou por 24 horas a operação policial que deixou 121 mortos no Rio","'I saw a headless body, totally disfigured bodies': the photographer who followed the police operation for 24 hours that left 121 people dead in Rio",-0.06666666666666667,"[('24 hours', 'TIME'), ('121', 'CARDINAL'), ('Rio', 'GPE')]"
2025_10_31,https://www.bbc.com/portuguese,pt,"Como o filme 'A Rede Social', sobre nascimento do Facebook, 'profetizou' problemas com tecnologia há 15 anos","How the film 'The Social Network', about the birth of Facebook, 'prophesied' problems with technology 15 years ago",0.03333333333333333,"[(""'The Social Network'"", 'WORK_OF_ART'), ('15 years ago', 'DATE')]"
