Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_05_19,https://www.bbc.com/mundo,es,¿Se está volviendo ingobernable Reino Unido?,Is the United Kingdom becoming ungovernable?,0.0,neutral,"[('United Kingdom', 'GPE')]"
2026_05_19,https://www.bbc.com/mundo,es,La preocupación de los propietarios de hoteles en EE.UU. ante la poca cantidad de reservas antes del inicio del Mundial 2026,The concern of hotel owners in the US due to the low number of reservations before the start of the 2026 World Cup,0.0,neutral,"[('US', 'GPE'), ('the start of the', 'DATE'), ('2026', 'DATE'), ('World Cup', 'EVENT')]"
2026_05_19,https://www.bbc.com/mundo,es,Qué es lo que realmente une a China y Rusia y cómo se manifiesta en la inminente visita de Putin a Xi,What really unites China and Russia and how it manifests itself in Putin's imminent visit to Xi,0.0,neutral,"[('China', 'GPE'), ('Russia', 'GPE'), ('Putin', 'PERSON'), ('Xi', 'PERSON')]"
2026_05_19,https://www.bbc.com/mundo,es,Cómo 5 minutos de ejercicio al día pueden mejorar y alargar nuestras vidas,How 5 minutes of exercise a day can improve and lengthen our lives,1.0,positive,"[('5 minutes', 'TIME')]"
2026_05_19,https://www.bbc.com/mundo,es,"""La distancia de un padre con un hijo es querer hablar y sentir que el otro está a 300 kilómetros aunque estés cara a cara""","""The distance between a parent and a child is wanting to talk and feeling that the other is 300 kilometers away even though you are face to face""",0.0,neutral,"[('300 kilometers', 'QUANTITY')]"
2026_05_19,https://www.bbc.com/mundo,es,Hallan los cuerpos de los otros 4 buceadores italianos que se ahogaron mientras exploraban una cueva en Maldivas,They find the bodies of the other 4 Italian divers who drowned while exploring a cave in the Maldives,0.0,neutral,"[('4', 'CARDINAL'), ('Italian', 'NORP'), ('Maldives', 'ORG')]"
2026_05_19,https://www.bbc.com/mundo,es,"Shakira gana su batalla de 8 años contra la Hacienda española, que deberá devolverle 60 millones de euros","Shakira wins her 8-year battle against the Spanish Treasury, which must return 60 million euros",1.0,positive,"[('8-year', 'DATE'), ('the Spanish', 'ORG'), ('Treasury', 'ORG'), ('60 million', 'CARDINAL')]"
2026_05_19,https://www.bbc.com/mundo,es,3 ejemplos que evidencian cómo Delcy Rodríguez está desmantelando en Venezuela el modelo económico chavista,3 examples that show how Delcy Rodríguez is dismantling the Chavista economic model in Venezuela,0.0,neutral,"[('3', 'CARDINAL'), ('Delcy Rodríguez', 'PERSON'), ('Chavista', 'GPE'), ('Venezuela', 'GPE')]"
2026_05_19,https://www.bbc.com/mundo,es,"Díaz-Canel asegura que un ataque de EE.UU. en Cuba provocaría ""un baño de sangre de consecuencias incalculables""","Díaz-Canel assures that a US attack on Cuba would cause ""a bloodbath of incalculable consequences""",-1.0,negative,"[('Díaz-Canel', 'ORG'), ('US', 'GPE'), ('Cuba', 'GPE')]"
2026_05_19,https://www.bbc.com/mundo,es,"""Las luchas en Centroamérica contra las dictaduras nunca habrían sido posibles sin Costa Rica como lugar de refugio y libertad"": Sergio Ramírez, novelista y exvicepresidente de Nicaragua","""The struggles in Central America against dictatorships would never have been possible without Costa Rica as a place of refuge and freedom"": Sergio Ramírez, novelist and former vice president of Nicaragua",0.0,neutral,"[('Central America', 'LOC'), ('Costa Rica', 'GPE'), ('Sergio Ramírez', 'PERSON'), ('Nicaragua', 'GPE')]"
2026_05_19,https://www.bbc.com/hindi,hi,"फाल्टा सीट पर होने वाले चुनाव से पीछे हटे तृणमूल कांग्रेस के जहांगीर ख़ान, शुभेंदु अधिकारी ने क्या कहा?",What did Trinamool Congress's Jahangir Khan and Shubhendu Adhikari withdraw from the elections on Falta seat?,0.0,neutral,"[(""Trinamool Congress's"", 'ORG'), ('Jahangir Khan', 'PERSON'), ('Shubhendu Adhikari', 'PERSON'), ('Falta', 'GPE')]"
2026_05_19,https://www.bbc.com/hindi,hi,"भोपाल में ट्विशा शर्मा की मौत: परिवार ने कहा हत्या, ससुराल पक्ष ने मानसिक बीमारी का दावा किया","Twisha Sharma's death in Bhopal: Family said murder, in-laws claimed mental illness",-1.0,negative,"[(""Twisha Sharma's"", 'PERSON')]"
2026_05_19,https://www.bbc.com/hindi,hi,"लाइव,रूसी राष्ट्रपति पुतिन ने चीन यात्रा से पहले जारी किया वीडियो संदेश","Live, Russian President Putin released video message before his visit to China",0.0,neutral,"[('Russian', 'NORP'), ('Putin', 'PERSON'), ('China', 'GPE')]"
2026_05_19,https://www.bbc.com/hindi,hi,"पीएम मोदी से सवाल के बाद फिर चर्चा में प्रेस फ़्रीडम, नॉर्वे कैसे बना दुनिया में नंबर वन?","After questioning PM Modi, press freedom again in discussion, how did Norway become number one in the world?",0.0,neutral,"[('Norway', 'GPE')]"
2026_05_19,https://www.bbc.com/hindi,hi,"आवारा कुत्तों पर सुप्रीम कोर्ट का बेहद सख़्त रवैया, कहा 'कुत्तों के डर के बिना जीना सबका हक़'","Supreme Court's very strict attitude on stray dogs, said 'Everyone has the right to live without fear of dogs'",0.0,neutral,"[(""Supreme Court's"", 'ORG')]"
