Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Entities_Raw
2025_10_06,https://www.bbc.com/mundo,es,"""La división en Israel es mucho más profunda y dolorosa como consecuencia del trauma del 7 de octubre"": entrevista a Ehud Olmert, exprimer ministro israelí","""The division in Israel is much deeper and more painful as a result of the trauma of October 7"": Interview with Ehud Olmert, squeeze Israeli minister",0.0,"[('Israel', 'GPE'), ('October 7', 'DATE'), ('Ehud Olmert', 'PERSON'), ('Israeli', 'NORP')]"
2025_10_06,https://www.bbc.com/mundo,es,"""Tengo tus fotos desnudo y todo lo necesario para arruinarte la vida"": la BBC le siguió la pista a estafadores que practican la sextorsión contra adolescentes","""I have your naked photos and everything necessary to ruin your life"": the BBC followed the track of scammers who practice sexants against adolescents",0.0,"[('BBC', 'ORG')]"
2025_10_06,https://www.bbc.com/mundo,es,Los esfuerzos para rescatar a cientos de personas que quedaron atrapadas en las laderas del monte Everest,The efforts to rescue hundreds of people who were trapped on the slopes of Mount Everest,-0.2,"[('hundreds', 'CARDINAL'), ('Mount Everest', 'LOC')]"
2025_10_06,https://www.bbc.com/mundo,es,"Qué son las células T, las ""guardias de seguridad"" del sistema inmunológico cuyo descubrimiento fue premiado con el Nobel de Medicina 2025","What are T cells, the ""security guards"" of the immune system whose discovery was awarded with the Nobel Prize in Medicine 2025",0.0,"[('the Nobel Prize in Medicine 2025', 'WORK_OF_ART')]"
2025_10_06,https://www.bbc.com/mundo,es,"Los minicerebros humanos desarrollados por científicos para ""alimentar"" computadoras","Human Minicerebros developed by scientists to ""feed"" computers",0.05,[]
2025_10_06,https://www.bbc.com/hindi,hi,"बिहार विधानसभा: 6 और 11 नवंबर को वोटिंग, 14 नवंबर को नतीजों का एलान, जानिए अहम बातें","Bihar Assembly: Voting on 6 and 11 November, results announced on November 14, know important things",0.4,"[('Bihar Assembly', 'PERSON'), ('6 and 11 November', 'DATE'), ('November 14', 'DATE')]"
2025_10_06,https://www.bbc.com/hindi,hi,"सुप्रीम कोर्ट में चीफ़ जस्टिस पर हमले की कोशिश, कोर्ट के अंदर क्या हुआ था","Attempted attack on Chief Justice in Supreme Court, what happened inside the court",0.0,"[('Supreme Court', 'ORG')]"
2025_10_06,https://www.bbc.com/hindi,hi,"लाइव,छिंदवाड़ा में कफ़ सिरप से मौत के मामले में मोहन यादव सरकार ने अब ये कार्रवाई की","Mohan Yadav government now took this action in the case of Kapha syrup death in Live, Chhindwara",0.11818181818181818,"[('Mohan Yadav', 'PERSON'), ('Kapha', 'NORP'), ('Live', 'GPE')]"
2025_10_06,https://www.bbc.com/hindi,hi,"अमेरिका के साथ ट्रेड डील पर बोले जयशंकर- 'रेड लाइन्स का हो सम्मान', इसका क्या मतलब है?","Jaishankar spoke on the trade deal with America- 'Honor to Red Lines', what does it mean?",-0.15625,"[('Jaishankar', 'PERSON'), ('America-', 'PERSON')]"
2025_10_06,https://www.bbc.com/hindi,hi,UPSC इंटरव्यू में फ़ेल होने के बावजूद ऐसे मिल सकती है सरकारी नौकरी,"Despite failing in UPSC interview, such a government job can be found",0.0,"[('UPSC', 'ORG')]"
2025_10_06,https://www.bbc.com/hindi,hi,"बिहार चुनाव से पहले नीतीश कुमार ने कितनी 'फ़्री' घोषणाएं की ,विपक्ष ने पूछा- पैसा कहां से आएगा?","Before the Bihar elections, how much 'free' announcements Nitish Kumar made, the opposition asked- where will the money come from?",0.4,"[('Bihar', 'GPE'), ('Nitish Kumar', 'PERSON')]"
2025_10_06,https://www.bbc.com/hindi,hi,'वो सेक्स और समलैंगिकता पर चुटकुले सुना रहे हैं':  सऊदी अरब के विवादास्पद कॉमेडी फ़ेस्टिवल में क्या-क्या हुआ?,'They are telling jokes on sex and homosexuality': What happened in the controversial comedy festival of Saudi Arabia?,0.55,"[('Saudi Arabia', 'GPE')]"
2025_10_06,https://www.bbc.com/hindi,hi,"जगह बदली, इवेंट बदला... लेकिन भारत-पाकिस्तान क्रिकेट में नहीं बदली विवाद की तस्वीर","Place changed, event changed ... but not changed in India-Pakistan cricket, picture of controversy",0.0,"[('India', 'GPE'), ('Pakistan', 'GPE')]"
2025_10_06,https://www.bbc.com/hindi,hi,"भूमि पेडनेकर जूझ रही हैं स्किन की इस बीमारी से, जानिए क्या है इसका इलाज","Bhumi Pednekar is struggling with this skin disease, know what is its treatment",0.0,"[('Bhumi Pednekar', 'PERSON')]"
2025_10_06,https://www.bbc.com/portuguese,pt,José Dirceu: 'Bolsonaro não tem condições de ir para a prisão comum',José Dirceu: 'Bolsonaro is unable to go to the common prison',-0.4,"[('José Dirceu', 'PERSON'), ('Bolsonaro', 'PERSON')]"
2025_10_06,https://www.bbc.com/portuguese,pt,A corrida contra o tempo para resgatar mais de 200 pessoas presas no Monte Everest,The race against time to rescue more than 200 people arrested on Mount Everest,0.5,"[('more than 200', 'CARDINAL'), ('Mount Everest', 'LOC')]"
2025_10_06,https://www.bbc.com/portuguese,pt,Por que novo premiê francês renunciou após menos de um mês no cargo,Why New French Premier resigned after less than a month in office,-0.010101010101010102,"[('New French', 'NORP'), ('less than a month', 'DATE')]"
2025_10_06,https://www.bbc.com/portuguese,pt,"Após reportagem da BBC, AGU manda Facebook tirar do ar venda de material usado para falsificar bebidas","After BBC report, AGU has Facebook gets out of sale of material used to falsify drinks",0.0,"[('BBC', 'ORG'), ('AGU', 'ORG')]"
