Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_05_25,https://www.bbc.com/mundo,es,Por qué China apoya de manera limitada a su aliada Cuba en medio de las presiones de Estados Unidos,Why China supports its ally Cuba in a limited way amid pressure from the United States,0.0,neutral,"[('China', 'GPE'), ('Cuba', 'GPE'), ('the United States', 'GPE')]"
2026_05_25,https://www.bbc.com/mundo,es,Cómo Petro logró aumentar su popularidad al término de su mandato y qué papel tiene el presidente en las elecciones de Colombia,How Petro managed to increase his popularity at the end of his term and what role the president has in the Colombian elections,0.0,neutral,"[('Colombian', 'NORP')]"
2026_05_25,https://www.bbc.com/mundo,es,Por qué el divorcio en Japón separa a padres e hijos y cómo una reforma podría cambiarlo,Why divorce in Japan separates parents and children and how reform could change it,0.0,neutral,"[('Japan', 'GPE')]"
2026_05_25,https://www.bbc.com/mundo,es,"""Lo que nuestras creencias sobre los senos revelan acerca de la vida, el amor, el sexo y la sociedad""","""What our beliefs about breasts reveal about life, love, sex and society""",0.0,neutral,[]
2026_05_25,https://www.bbc.com/mundo,es,"Cómo es Bután, el remoto reino del Himalaya que ahora se abre al mundo","What Bhutan is like, the remote Himalayan kingdom that is now opening up to the world",0.0,neutral,"[('Bhutan', 'GPE'), ('Himalayan', 'NORP')]"
2026_05_25,https://www.bbc.com/mundo,es,Por qué las ideas de un gran estratega de las Guerras Napoleónicas siguen vigentes para entender el actual conflicto en Irán,Why the ideas of a great strategist from the Napoleonic Wars are still valid to understand the current conflict in Iran,-0.3333,negative,"[('the Napoleonic Wars', 'LOC'), ('Iran', 'GPE')]"
2026_05_25,https://www.bbc.com/mundo,es,"Qué es la Tarea de selección de Wason, uno de los problemas de lógica más investigados y desconcertantes de la historia","What is the Wason Selection Task, one of the most researched and puzzling logic problems in history",0.0,neutral,"[('the Wason Selection Task', 'ORG')]"
2026_05_25,https://www.bbc.com/mundo,es,"""Todos los que se han ido están aquí"": por qué 1980 es un año clave para entender la crisis migratoria que conecta a Centroamérica y EE.UU.","""All those who have left are here"": why 1980 is a key year to understand the migration crisis that connects Central America and the United States.",-1.0,negative,"[('1980', 'DATE'), ('a key year', 'DATE'), ('Central America', 'LOC'), ('the United States', 'GPE')]"
2026_05_25,https://www.bbc.com/mundo,es,"""Vendí a mi hija de 5 años para que recibiera tratamiento médico"": las familias que se enfrentan a decisiones imposibles en Afganistán",'I sold my 5-year-old daughter for medical treatment': Families facing impossible decisions in Afghanistan,0.0,neutral,"[('5-year-old', 'DATE'), ('Afghanistan', 'GPE')]"
2026_05_25,https://www.bbc.com/mundo,es,"Cómo la familia Andic construyó el imperio de la moda Mango y qué poder tiene Jonathan, el heredero acusado de la muerte de su padre","How the Andic family built the Mango fashion empire and what power Jonathan, the heir accused of his father's death, has",-1.0,negative,"[('Andic', 'PERSON'), ('Mango', 'LOC'), ('Jonathan', 'PERSON')]"
2026_05_25,https://www.bbc.com/hindi,hi,'कॉकरोच जनता पार्टी' पर मुख्य न्यायाधीश जस्टिस सूर्यकांत ने ये कहा,Chief Justice Justice Surya Kant said this on 'Cockroach Janata Party',0.0,neutral,"[('Surya Kant', 'PERSON'), (""Cockroach Janata Party'"", 'ORG')]"
2026_05_25,https://www.bbc.com/hindi,hi,यूक्रेन ने रूसी ड्रोन हमलों से निपटने के लिए निकाला ये हाई-टेक तरीक़ा,Ukraine came up with this high-tech method to deal with Russian drone attacks,-1.0,negative,"[('Ukraine', 'GPE'), ('Russian', 'NORP')]"
2026_05_25,https://www.bbc.com/hindi,hi,"लाइव,राहुल गांधी ने नीट पेपर लीक मामले के बाद अब सीबीएसई बोर्ड परीक्षा पर उठाए सवाल","Live, Rahul Gandhi now raises questions on CBSE board exam after NEET paper leak case",0.0,neutral,"[('Rahul Gandhi', 'PERSON'), ('CBSE', 'ORG'), ('NEET', 'ORG')]"
2026_05_25,https://www.bbc.com/hindi,hi,"त्विषा शर्मा केस: सुप्रीम कोर्ट ने की सुनवाई, गवाहों और अभियुक्तों को लेकर क्या कहा","Tvisha Sharma case: What did the Supreme Court say about the hearing, witnesses and accused?",0.0,neutral,"[('Tvisha Sharma', 'PERSON'), ('the Supreme Court', 'ORG')]"
2026_05_25,https://www.bbc.com/hindi,hi,फाल्टा सीट पर बीजेपी की भारी जीत के टीएमसी के लिए क्या मायने हैं?,What does BJP's massive victory in Falta seat mean for TMC?,1.0,positive,"[('BJP', 'ORG'), ('Falta', 'GPE'), ('TMC', 'PERSON')]"
2026_05_25,https://www.bbc.com/hindi,hi,ईरान से समझौते पर किन बातों को लेकर बंटे राष्ट्रपति ट्रंप की पार्टी के सांसद,On what issues are MPs of President Trump's party divided on the agreement with Iran?,1.0,positive,"[('Trump', 'PERSON'), ('Iran', 'GPE')]"
