Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_05_24,https://www.bbc.com/mundo,es,Por qué las ideas de un gran estratega de las Guerras Napoleónicas siguen vigentes para entender el actual conflicto en Irán,Why the ideas of a great strategist from the Napoleonic Wars are still valid to understand the current conflict in Iran,-0.3333,negative,"[('the Napoleonic Wars', 'LOC'), ('Iran', 'GPE')]"
2026_05_24,https://www.bbc.com/mundo,es,"Cómo la familia Andic construyó el imperio de la moda Mango y qué poder tiene Jonathan, el heredero acusado de la muerte de su padre","How the Andic family built the Mango fashion empire and what power Jonathan, the heir accused of his father's death, has",-1.0,negative,"[('Andic', 'PERSON'), ('Mango', 'LOC'), ('Jonathan', 'PERSON')]"
2026_05_24,https://www.bbc.com/mundo,es,"""Vendí a mi hija de 5 años para que recibiera tratamiento médico"": las familias que se enfrentan a decisiones imposibles en Afganistán",'I sold my 5-year-old daughter for medical treatment': Families facing impossible decisions in Afghanistan,0.0,neutral,"[('5-year-old', 'DATE'), ('Afghanistan', 'GPE')]"
2026_05_24,https://www.bbc.com/mundo,es,Las imágenes del ejercicio militar de EE.UU. en Caracas autorizado por el gobierno de Venezuela,Images of the US military exercise in Caracas authorized by the government of Venezuela,0.0,neutral,"[('US', 'GPE'), ('Caracas', 'GPE'), ('Venezuela', 'GPE')]"
2026_05_24,https://www.bbc.com/mundo,es,"Cómo es Bután, el remoto reino del Himalaya que ahora se abre al mundo","What Bhutan is like, the remote Himalayan kingdom that is now opening up to the world",0.0,neutral,"[('Bhutan', 'GPE'), ('Himalayan', 'NORP')]"
2026_05_24,https://www.bbc.com/mundo,es,"Cómo es el Jardín de los Venenos, que alberga más de 100 plantas tóxicas (incluida la más venenosa del mundo)","What is the Garden of Poisons like, which houses more than 100 toxic plants (including the most poisonous in the world)",0.0,neutral,"[('the Garden of Poisons', 'FAC'), ('more than 100', 'CARDINAL')]"
2026_05_24,https://www.bbc.com/mundo,es,Agentes del Servicio Secreto abaten a un sospecho de un tiroteo afuera de la Casa Blanca,Secret Service agents kill suspect in shooting outside White House,-1.0,negative,"[('White House', 'ORG')]"
2026_05_24,https://www.bbc.com/mundo,es,"Trump anuncia que tiene un acuerdo ""prácticamente negociado"" con Irán que incluiría la apertura del estrecho de Ormuz","Trump announces that he has a ""practically negotiated"" agreement with Iran that would include the opening of the Strait of Hormuz",1.0,positive,"[('Trump', 'ORG'), ('Iran', 'GPE'), ('the Strait of Hormuz', 'LOC')]"
2026_05_24,https://www.bbc.com/mundo,es,"""Nervios de acero"": Tammie Jo Shults, la piloto de combate que salvó la vida de 148 pasajeros","""Nerves of steel"": Tammie Jo Shults, the fighter pilot who saved the lives of 148 passengers",0.0,neutral,"[('Tammie Jo Shults', 'PERSON'), ('148', 'CARDINAL')]"
2026_05_24,https://www.bbc.com/mundo,es,"El director ejecutivo de un banco pide disculpas tras describir a sus trabajadores como ""capital humano de menor valor""","Bank CEO apologizes after describing his workers as ""lower value human capital""",0.0,neutral,"[('Bank', 'ORG')]"
2026_05_24,https://www.bbc.com/hindi,hi,"दिल्ली जिमखाना को खाली कराने का पूरा मामला क्या है, जानिए 113 साल पुराने क्लब का इतिहास","What is the whole matter of vacating Delhi Gymkhana, know the history of 113 year old club",0.0,neutral,"[('Delhi Gymkhana', 'PERSON'), ('113 year old', 'DATE')]"
2026_05_24,https://www.bbc.com/hindi,hi,"लाइव,अभिनेता राम चरण ने गेंदबाज़ बुमराह से इस बात के लिए मांगी माफ़ी","Live, actor Ram Charan apologized to bowler Bumrah for this",0.0,neutral,"[('Ram Charan', 'PERSON'), ('Bumrah', 'PERSON')]"
2026_05_24,https://www.bbc.com/hindi,hi,"गुरिंदरवीर सिंह कौन हैं, जो बन गए हैं भारत के सबसे तेज़ धावक","Who is Gurinderveer Singh, who has become India's fastest runner?",0.0,neutral,"[('Gurinderveer Singh', 'PERSON'), ('India', 'GPE')]"
2026_05_24,https://www.bbc.com/hindi,hi,"ट्रंप ने ईरान के साथ समझौते को लेकर किया अहम दावा, होर्मुज़ स्ट्रेट को खोलने पर ये कहा","Trump made an important claim regarding the agreement with Iran, said this on opening the Strait of Hormuz",1.0,positive,"[('Iran', 'GPE'), ('the Strait of Hormuz', 'LOC')]"
2026_05_24,https://www.bbc.com/hindi,hi,प्रेस फ्रीडम पर सवाल उठाकर यूरोप ने क्या भारत पर अपना रुख़ बदला है?,Has Europe changed its stance on India by raising questions on press freedom?,0.0,neutral,"[('Europe', 'LOC'), ('India', 'GPE')]"
2026_05_24,https://www.bbc.com/hindi,hi,दुनिया के 'सबसे प्रदूषित' कहे गए मेघालय के इस इलाके में अब कैसे हैं हालात?,"How is the situation now in this area of ​​Meghalaya, which has been called the 'most polluted' in the world?",0.0,neutral,[]
2026_05_24,https://www.bbc.com/hindi,hi,क्राउडफ़ंडिंग के 34 करोड़ रुपये से केरल के एक व्यक्ति की सऊदी अरब में मौत की सज़ा कैसे माफ़ हुई,How a Kerala man's death sentence was commuted in Saudi Arabia with Rs 34 crore of crowdfunding,-1.0,negative,"[('Kerala', 'GPE'), ('Saudi Arabia', 'GPE'), ('34', 'CARDINAL')]"
2026_05_24,https://www.bbc.com/hindi,hi,अमेरिका के इस फ़ैसले का भारतीय युवाओं पर क्या होगा असर,What will be the impact of this decision of America on Indian youth?,0.0,neutral,"[('America', 'GPE'), ('Indian', 'NORP')]"
2026_05_24,https://www.bbc.com/hindi,hi,"बेल मिलते ही जेल के बाहर रेप अभियुक्त के स्वागत पर एफ़आईआर दर्ज, क्या है पूरा मामला","FIR registered on welcoming rape accused outside the jail as soon as he got bail, what is the whole matter",0.0,neutral,[]
2026_05_24,https://www.bbc.com/hindi,hi,खाड़ी के देशों में काम करने गईं कुछ भारतीय महिलाओं की आपबीती,The ordeal of some Indian women who went to work in Gulf countries,0.0,neutral,"[('Indian', 'NORP'), ('Gulf', 'LOC')]"
2026_05_24,https://www.bbc.com/portuguese,pt,"Captura, mudança de poder e colapso: o que pode acontecer em Cuba após governo Trump indiciar Raúl Castro?","Capture, change of power and collapse: what could happen in Cuba after the Trump government indicts Raúl Castro?",-1.0,negative,"[('Cuba', 'GPE'), ('Trump', 'ORG'), ('Raúl Castro', 'PERSON')]"
2026_05_24,https://www.bbc.com/portuguese,pt,'Vendi minha filha de 5 anos para pagar tratamento médico': os relatos de pais afegãos diante da pobreza extrema,'I sold my 5-year-old daughter to pay for medical treatment': reports from Afghan parents faced with extreme poverty,0.0,neutral,"[('5-year-old', 'DATE'), ('Afghan', 'NORP')]"
2026_05_24,https://www.bbc.com/portuguese,pt,"Suspeito é morto após abrir fogo contra agentes do Serviço Secreto da Casa Branca, nos Estados Unidos",Suspect is killed after opening fire on White House Secret Service agents in the United States,-1.0,negative,"[('White House Secret Service', 'ORG'), ('the United States', 'GPE')]"
2026_05_24,https://www.bbc.com/portuguese,pt,"Trump diz que acordo com Irã foi 'amplamente negociado', incluindo a reabertura do Estreito de Ormuz","Trump says Iran deal was 'largely negotiated', including reopening of Strait of Hormuz",0.0,neutral,"[('Trump', 'ORG'), ('Iran', 'GPE'), ('Strait of', 'LOC')]"
2026_05_24,https://www.bbc.com/portuguese,pt,Como um império bilionário da moda virou palco de uma disputa familiar e de uma acusação de homicídio,How a billion-dollar fashion empire became the scene of a family dispute and a murder accusation,0.0,neutral,"[('billion-dollar', 'MONEY')]"
2026_05_24,https://www.bbc.com/portuguese,pt,Em busca do soldado Tom: a solução do mistério do prisioneiro de guerra soviético da 2ª Guerra Mundial,In Search of Private Tom: Solving the WWII Soviet Prisoner of War Mystery,-1.0,negative,"[('the WWII Soviet Prisoner of War Mystery', 'EVENT')]"
2026_05_24,https://www.bbc.com/portuguese,pt,O que as séries de TV não mostram de quem vive de OnlyFans,What TV series don't show about those who live on OnlyFans,0.0,neutral,"[('OnlyFans', 'NORP')]"
2026_05_24,https://www.bbc.com/portuguese,pt,O 'último cidadão soviético': o cosmonauta 'abandonado' no espaço há 35 anos durante o colapso da União Soviética,The 'last Soviet citizen': the cosmonaut 'abandoned' in space 35 years ago during the collapse of the Soviet Union,-1.0,negative,"[('Soviet', 'NORP'), ('35 years ago', 'DATE'), ('the Soviet Union', 'GPE')]"
2026_05_24,https://www.bbc.com/portuguese,pt,Flávio Bolsonaro vai aos EUA em busca de Trump e agenda positiva em meio a crise e sob olhar atento do governo Lula,Flávio Bolsonaro goes to the USA in search of Trump and a positive agenda amid the crisis and under the watchful eye of the Lula government,0.0,neutral,"[('Flávio Bolsonaro', 'PERSON'), ('USA', 'GPE'), ('Trump', 'ORG')]"
2026_05_24,https://www.bbc.com/portuguese,pt,Óculos inteligentes são invasão de privacidade?,Are smart glasses an invasion of privacy?,0.0,neutral,[]
2026_05_24,https://www.bbc.com/russian,ru,"Разрушения по всему Киеву и в Черкассах, погибшие и много раненых: последствия ночного удара России","Destruction throughout Kyiv and Cherkassy, ​​dead and many wounded: the consequences of Russia's night strike",0.0,neutral,"[('Cherkassy', 'PERSON'), ('Russia', 'GPE')]"
