Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Entities_Raw
2025_11_30,https://www.bbc.com/mundo,es,El hombre que se infiltró en Auschwitz para revelar al mundo las atrocidades de Hitler y los nazis,The man who infiltrated Auschwitz to reveal to the world the atrocities of Hitler and the Nazis,0.0,"[('Auschwitz', 'PERSON'), ('Hitler', 'PERSON'), ('Nazis', 'NORP')]"
2025_11_30,https://www.bbc.com/mundo,es,"Trump declara el cierre total del espacio aéreo de Venezuela y el gobierno de Caracas califica el anuncio de ""amenaza colonialista""","Trump declares the total closure of Venezuelan airspace and the Caracas government describes the announcement as a ""colonialist threat""",0.0,"[('Venezuelan', 'NORP'), ('Caracas', 'GPE')]"
2025_11_30,https://www.bbc.com/mundo,es,"Juan Orlando Hernández: quién es el expresidente de Honduras que será indultado por Trump y por qué la justicia de EE.UU. lo acusó de convertir a su país en un ""narcoestado""","Juan Orlando Hernández: who is the former president of Honduras who will be pardoned by Trump and why the US justice system accused him of turning his country into a ""narco-state""",0.0,"[('Juan Orlando Hernández', 'PERSON'), ('Honduras', 'GPE'), ('Trump', 'PERSON'), ('US', 'GPE')]"
2025_11_30,https://www.bbc.com/mundo,es,Por qué los ricos y poderosos no podían decirle 'no' a Jeffrey Epstein,Why the rich and powerful couldn't say 'no' to Jeffrey Epstein,0.3375,"[('Jeffrey Epstein', 'PERSON')]"
2025_11_30,https://www.bbc.com/mundo,es,Qué son las ingeniosas cajas de Ward y cómo transformaron la economía mundial,What are Ward's ingenious boxes and how did they transform the world economy?,0.5,"[('Ward', 'ORG')]"
2025_11_30,https://www.bbc.com/hindi,hi,"सिंध, जो कई धर्मों और साम्राज्यों का गवाह रहा, भारत का हिस्सा क्यों नहीं बना?","Why did Sindh, which witnessed many religions and empires, not become a part of India?",0.5,"[('Sindh', 'GPE'), ('India', 'GPE')]"
2025_11_30,https://www.bbc.com/hindi,hi,"'अच्छे कपड़े पहन रही हूं, मोदी जी से मिली हूं, यह सिर्फ़ क्रिकेट की वजह से', वर्ल्ड चैंपियन ब्लाइंड महिला क्रिकेटर्स की कहानी","'I am wearing nice clothes, I have met Modi ji, it is only because of cricket', the story of world champion blind women cricketers",0.033333333333333326,"[('Modi', 'PERSON')]"
2025_11_30,https://www.bbc.com/hindi,hi,"लाइव,चक्रवाती तूफ़ान दित्वाह तमिलनाडु–पुदुचेरी से सिर्फ़ 70 किलोमीटर दूर","Live, Cyclone Ditvaah just 70 km away from Tamil Nadu-Puducherry",0.13636363636363635,"[('70 km', 'QUANTITY'), ('Tamil Nadu-Puducherry', 'FAC')]"
2025_11_30,https://www.bbc.com/hindi,hi,"पीरियड ब्लड को चेहरे पर लगाने का ट्रेंड, डॉक्टर क्या कहते हैं?","Trend of applying period blood on face, what do doctors say?",0.0,[]
2025_11_30,https://www.bbc.com/hindi,hi,"दित्वाह तूफ़ान: श्रीलंका में तबाही के बाद भारत की ओर बढ़ा, कहां-कहां होगा कितना असर","Ditvah storm: After devastation in Sri Lanka, it moved towards India, where and how much impact will it have?",0.2,"[('Ditvah', 'PERSON'), ('Sri Lanka', 'GPE'), ('India', 'GPE')]"
