Source_Name,Entity,Label
BBC Spanish,5,CARDINAL
BBC Spanish,Fireworks,PERSON
BBC Spanish,New Year's,EVENT
BBC Spanish,Mayan,NORP
BBC Spanish,this day,DATE
BBC Spanish,Venezuela,GPE
BBC Spanish,John Feeley,PERSON
BBC Spanish,US,GPE
BBC Spanish,Latin America,LOC
BBC Spanish,Jean-Paul Sartre,PERSON
BBC Spanish,the new year,DATE
BBC Hindi,Bangladesh Jamaat-e-Islami,PERSON
BBC Hindi,India,GPE
BBC Hindi,Switzerland,GPE
BBC Hindi,more than 100,CARDINAL
BBC Hindi,Jaishankar,PERSON
BBC Hindi,Dhaka,ORG
BBC Hindi,Khaleda Zia,PERSON
BBC Hindi,Pakistan,GPE
BBC Hindi,Bangladesh,GPE
BBC Hindi,five months old,DATE
BBC Hindi,Khaleda Zia's,PERSON
BBC Hindi,Ziaur Rehman,PERSON
BBC Hindi,America,GPE
BBC Hindi,Zohran Mamdani,PERSON
BBC Hindi,New York,GPE
BBC Hindi,Aravali,NORP
BBC Hindi,PAN,ORG
BBC Hindi,today,DATE
BBC Hindi,Tau,PERSON
BBC Hindi,Haryana,PERSON
BBC Portuguese,2025,DATE
BBC Portuguese,the year,DATE
BBC Portuguese,Pernambuco,PERSON
BBC Portuguese,Machu Picchu,FAC
BBC Portuguese,0.41,CARDINAL
BBC Portuguese,one,CARDINAL
BBC Portuguese,dozens,CARDINAL
BBC Portuguese,Machu Picchu,PERSON
BBC Portuguese,1.13,CARDINAL
BBC Portuguese,Bolsonaro,PERSON
BBC Portuguese,the 1st,DATE
BBC Portuguese,Jean-Paul Sartre's,PERSON
BBC Portuguese,the year,DATE
BBC Portuguese,Trump,PERSON
BBC Portuguese,Venezuela,GPE
BBC Portuguese,US,GPE
BBC Portuguese,Lula,PERSON
BBC Portuguese,4,CARDINAL
BBC Portuguese,5,CARDINAL
BBC Portuguese,Rita Lobo,PERSON
BBC Portuguese,1.38,CARDINAL
BBC Russian,War,GPE
BBC Russian,Ukraine,GPE
BBC Russian,New Year's Eve,EVENT
BBC Russian,Russia,GPE
BBC Russian,Ukraine,GPE
BBC Russian,US,GPE
BBC Russian,Kyiv,PERSON
BBC Russian,Putin,PERSON
BBC Russian,WSJ,ORG
BBC Russian,the new year 2026,DATE
BBC Russian,The Devil Wears Prada,WORK_OF_ART
BBC Russian,18,CARDINAL
BBC Russian,2026,DATE
BBC Russian,Chicago,GPE
BBC Russian,Los Angeles,GPE
BBC Russian,Portland,GPE
BBC Russian,Israel,GPE
BBC Russian,37,CARDINAL
BBC Russian,Gaza,GPE
BBC Russian,Britain,GPE
BBC Russian,EU,ORG
BBC Russian,Finnish,NORP
BBC Russian,Russia,GPE
BBC Russian,Jimmy Lai’s,PERSON
BBC Russian,BBC,ORG
BBC Russian,Hong Kong,GPE
BBC Russian,Brigitte Bardot,PERSON
BBC Russian,Ozzy Osbourne,PERSON
BBC Russian,Robert Redford,PERSON
BBC Russian,2025,DATE
BBC Russian,Saudi Arabia,GPE
BBC Russian,UAE,ORG
BBC Russian,Yemen,GPE
BBC Japanese,2026,DATE
BBC Japanese,EU,ORG
BBC Japanese,Russia,GPE
BBC Japanese,Ukraine,GPE
BBC Japanese,Putin,PERSON
BBC Japanese,U.S. Congress,ORG
BBC Japanese,Smith,PERSON
BBC Japanese,Trump,ORG
BBC Japanese,Fireworks,PERSON
BBC Japanese,the start of 2026,DATE
BBC Japanese,Eurostar,ORG
BBC Japanese,the Kennedy Center,FAC
BBC Japanese,US,GPE
BBC Japanese,Trump,ORG
BBC Japanese,30 million,CARDINAL
BBC Japanese,Germany,GPE
BBC Japanese,more than 40,CARDINAL
BBC Japanese,2025,DATE
BBC Japanese,Chinese,NORP
BBC Japanese,Taiwan,GPE
BBC Swahili,2026,DATE
BBC Swahili,the new year 2026,DATE
BBC Swahili,2026,DATE
BBC Swahili,2025,DATE
BBC Swahili,16,CARDINAL
BBC Swahili,5,CARDINAL
BBC Swahili,Tanzania,GPE
BBC Swahili,European Football Rumors,ORG
BBC Swahili,Thursday,DATE
BBC Swahili,Yan Diomande,PERSON
BBC Swahili,New year,DATE
BBC Swahili,10,CARDINAL
BBC Swahili,2025,DATE
BBC Swahili,this season,DATE
BBC Swahili,Tanzania,GPE
BBC Swahili,2025,DATE
BBC Swahili,2025,DATE
BBC Swahili,Tanzania,GPE
