Source_Name,Entity,Label
BBC Spanish,Christians,NORP
BBC Spanish,Nigeria,GPE
BBC Spanish,Trump,PERSON
BBC Spanish,Peru,GPE
BBC Spanish,Peruvian,NORP
BBC Spanish,Peruvians,NORP
BBC Spanish,Bogotá,GPE
BBC Spanish,40 years ago,DATE
BBC Spanish,half,CARDINAL
BBC Spanish,Sudan,GPE
BBC Spanish,US,GPE
BBC Spanish,US$10 million,MONEY
BBC Spanish,6-year-old,DATE
BBC Hindi,Supreme Court's,ORG
BBC Hindi,Elon Musk,PERSON
BBC Hindi,one trillion dollars,MONEY
BBC Hindi,193,CARDINAL
BBC Hindi,Philippines,GPE
BBC Hindi,Vietnam,GPE
BBC Hindi,Typhoon Kalmegi,FAC
BBC Hindi,Kashmir,LOC
BBC Hindi,Bihar Assembly,ORG
BBC Hindi,Owaisi,ORG
BBC Hindi,Seemanchal,GPE
BBC Hindi,four,CARDINAL
BBC Hindi,Bihar,GPE
BBC Hindi,Ghazala Hashmi,PERSON
BBC Hindi,first,ORDINAL
BBC Hindi,Muslim,NORP
BBC Hindi,Virginia,GPE
BBC Hindi,Bihar Assembly,ORG
BBC Hindi,First,ORDINAL
BBC Hindi,64.66 percent,PERCENT
BBC Portuguese,Bolsonaro,PERSON
BBC Portuguese,Trump,PERSON
BBC Portuguese,Latinos,ORG
BBC Portuguese,Lula,PERSON
BBC Portuguese,Belém,ORG
BBC Portuguese,UK,GPE
BBC Portuguese,14-year-old,DATE
BBC Portuguese,Comando Vermelho: ',ORG
BBC Portuguese,Rio,GPE
BBC Portuguese,Leo 14's,PERSON
BBC Portuguese,Trump,ORG
BBC Portuguese,Miss Mexico,PERSON
BBC Russian,Russia,GPE
BBC Russian,Ukrainian,GPE
BBC Russian,War,GPE
BBC Russian,Ukraine,GPE
BBC Russian,night,TIME
BBC Russian,Zaporozhye,PERSON
BBC Russian,Chuguev,PERSON
BBC Russian,Odessa,GPE
BBC Russian,Gunvor,PERSON
BBC Russian,Lukoil,ORG
BBC Russian,the United States,GPE
BBC Russian,Mamdani,PERSON
BBC Russian,US,GPE
BBC Russian,Democrats,NORP
BBC Russian,Russia,GPE
BBC Russian,China,GPE
BBC Russian,Trump,PERSON
BBC Russian,Central Asian,NORP
BBC Russian,the White House,FAC
BBC Russian,nearly a trillion dollars,MONEY
BBC Russian,France,GPE
BBC Russian,Shein,LOC
BBC Russian,Russian,NORP
BBC Russian,Pokrovsk,GPE
BBC Russian,The Collins Dictionary,ORG
BBC Russian,2025,DATE
BBC Russian,85-year-old,DATE
BBC Russian,Democrat,NORP
BBC Russian,Nancy Pelosi,PERSON
BBC Russian,2027,DATE
BBC Japanese,U.S. House,ORG
BBC Japanese,Democrats,NORP
BBC Japanese,the House of Representatives,ORG
BBC Japanese,20 years,DATE
BBC Japanese,Bickering,PERSON
BBC Japanese,Trump,ORG
BBC Japanese,Universe,PERSON
BBC Japanese,Mexico,GPE
BBC Japanese,17,CARDINAL
BBC Japanese,South Africans,NORP
BBC Japanese,Donbas,GPE
BBC Japanese,Russia,GPE
BBC Japanese,Ukraine,GPE
BBC Japanese,Tesla,ORG
BBC Japanese,$1 trillion,MONEY
BBC Japanese,Russian,NORP
BBC Japanese,Ukrainian,GPE
BBC Japanese,first,ORDINAL
BBC Japanese,U.S. Supreme Court,ORG
BBC Japanese,Trump,ORG
BBC Japanese,The US Democratic Party,ORG
BBC Swahili,Tanzania,GPE
BBC Swahili,Christians,NORP
BBC Swahili,Nigeria,GPE
BBC Swahili,Trump,ORG
BBC Swahili,Israeli,NORP
BBC Swahili,Tanzanian,NORP
BBC Swahili,Gaza,GPE
BBC Swahili,European Football Rumors,ORG
BBC Swahili,Friday,DATE
BBC Swahili,Will Tottenham,PERSON
BBC Swahili,Ivan Toney,PERSON
BBC Swahili,EPL,ORG
BBC Swahili,Tanzania,GPE
BBC Swahili,Tanzania,GPE
BBC Swahili,2025,DATE
BBC Swahili,democratic,NORP
BBC Swahili,El Fasher,ORG
BBC Swahili,Saudi,NORP
BBC Swahili,50 years ago,DATE
BBC Swahili,Heche,ORG
BBC Swahili,two,CARDINAL
