Source_Name,Entity,Label,Scrape_Date
BBC Mundo,Colombia,GPE,2026_09_04
BBC Mundo,Panama,GPE,2026_09_04
BBC Mundo,1903,DATE,2026_09_04
BBC Mundo,Caribbean,LOC,2026_09_04
BBC Mundo,dijeron que,PERSON,2026_09_04
BBC Mundo,jamás lo,PERSON,2026_09_04
BBC Mundo,las más de 250.000,PERSON,2026_09_04
BBC Mundo,hijos en,PERSON,2026_09_04
BBC Mundo,Reino Unido,FAC,2026_09_04
BBC Mundo,9,CARDINAL,2026_09_04
BBC Mundo,un,ORG,2026_09_04
BBC Mundo,Nepal,GPE,2026_09_04
BBC Mundo,Tíbet,ORG,2026_09_04
BBC Mundo,Almond,ORG,2026_09_04
BBC Mundo,Finns,NORP,2026_09_04
BBC Mundo,271 days,DATE,2026_09_04
BBC Mundo,UN,ORG,2026_09_04
BBC Mundo,El Niño,ORG,2026_09_04
BBC Mundo,Delcy Rodríguez's,PERSON,2026_09_04
BBC Mundo,US,GPE,2026_09_04
BBC Mundo,Tierra del Fuego,FAC,2026_09_04
BBC Mundo,"Jonathan ""Honas"" Meléndez",PERSON,2026_09_04
BBC Mundo,Mexican,NORP,2026_09_04
BBC Mundo,Camilo Séptimo,PERSON,2026_09_04
BBC Mundo,3-year-old,DATE,2026_09_04
BBC Hindi,मिलता,ORG,2026_09_04
BBC Hindi,सैकड़ों करोड़ का,ORG,2026_09_04
BBC Hindi,चुनाव,GPE,2026_09_04
BBC Hindi,हैं,PERSON,2026_09_04
BBC Hindi,Delhi-NCR,ORG,2026_09_04
BBC Hindi,Terminal 3,ORG,2026_09_04
BBC Hindi,Two,CARDINAL,2026_09_04
BBC Hindi,Delhi,GPE,2026_09_04
BBC Hindi,First,ORDINAL,2026_09_04
BBC Hindi,Canada,GPE,2026_09_04
BBC Hindi,की मांग,GPE,2026_09_04
BBC Hindi,रहे,PERSON,2026_09_04
BBC Hindi,Kenyan,NORP,2026_09_04
BBC Hindi,Tata Chemicals,ORG,2026_09_04
BBC Hindi,9,CARDINAL,2026_09_04
BBC Hindi,"2,18",CARDINAL,2026_09_04
BBC Hindi,Two,CARDINAL,2026_09_04
BBC Hindi,nine days,DATE,2026_09_04
BBC Hindi,Nepal,GPE,2026_09_04
BBC Portuguese,Mendonça,PERSON,2026_09_04
BBC Portuguese,Fachin,PERSON,2026_09_04
BBC Portuguese,STF,ORG,2026_09_04
BBC Portuguese,STF,ORG,2026_09_04
BBC Portuguese,STF,ORG,2026_09_04
BBC Portuguese,Moraes,GPE,2026_09_04
BBC Portuguese,Mendonça,GPE,2026_09_04
BBC Portuguese,BBC,ORG,2026_09_04
BBC Portuguese,Israel,GPE,2026_09_04
BBC Portuguese,Holanda,ORG,2026_09_04
BBC Portuguese,12,MONEY,2026_09_04
BBC Portuguese,EUA,ORG,2026_09_04
BBC Portuguese,Canadá,GPE,2026_09_04
