Source_Name,Entity,Label,Scrape_Date
BBC Mundo,las causas de que,PERSON,2026_09_12
BBC Mundo,Houthis,PERSON,2026_09_12
BBC Mundo,Yemen,GPE,2026_09_12
BBC Mundo,Iran,GPE,2026_09_12
BBC Mundo,Chile,GPE,2026_09_12
BBC Mundo,Kast,ORG,2026_09_12
BBC Mundo,Salvador Allende,ORG,2026_09_12
BBC Mundo,Las 2,NORP,2026_09_12
BBC Mundo,las que,GPE,2026_09_12
BBC Mundo,las Torres,PERSON,2026_09_12
BBC Mundo,el impacto de los,ORG,2026_09_12
BBC Mundo,el 11 de septiembre de 2001,PERSON,2026_09_12
BBC Mundo,Especial BBC Mundo,ORG,2026_09_12
BBC Mundo,11,CARDINAL,2026_09_12
BBC Mundo,149,CARDINAL,2026_09_12
BBC Mundo,el estado de la,ORG,2026_09_12
BBC Mundo,América Latina,PERSON,2026_09_12
BBC Mundo,revela la última prueba,PERSON,2026_09_12
BBC Mundo,PISA,ORG,2026_09_12
BBC Mundo,del hombre,GPE,2026_09_12
BBC Mundo,Gemelas el,PERSON,2026_09_12
BBC Mundo,11,CARDINAL,2026_09_12
BBC Mundo,Betty Ong,PERSON,2026_09_12
BBC Mundo,contra,NORP,2026_09_12
BBC Mundo,las Torres,PERSON,2026_09_12
BBC Mundo,Gemelas el,PERSON,2026_09_12
BBC Mundo,11,CARDINAL,2026_09_12
BBC Mundo,25,CARDINAL,2026_09_12
BBC Mundo,11,CARDINAL,2026_09_12
BBC Mundo,el arquitecto de los,ORG,2026_09_12
BBC Mundo,Guantánamo,GPE,2026_09_12
BBC Mundo,5,CARDINAL,2026_09_12
BBC Mundo,25 years,DATE,2026_09_12
BBC Mundo,9/11,CARDINAL,2026_09_12
BBC Hindi,Chinese,NORP,2026_09_12
BBC Hindi,Xi Jinping's,PERSON,2026_09_12
BBC Hindi,India,GPE,2026_09_12
BBC Hindi,BRICS,GPE,2026_09_12
BBC Hindi,2026,DATE,2026_09_12
BBC Hindi,लाइव,ORG,2026_09_12
BBC Hindi,सचिन पायलट ने,PERSON,2026_09_12
BBC Hindi,हिम्मत,ORG,2026_09_12
BBC Hindi,रहा,CARDINAL,2026_09_12
BBC Hindi,जानिए,PERSON,2026_09_12
BBC Hindi,India,GPE,2026_09_12
BBC Hindi,Apple,ORG,2026_09_12
BBC Hindi,John Ternes,PERSON,2026_09_12
BBC Hindi,रेड,CARDINAL,2026_09_12
BBC Hindi,चिदंबरम ने उठाए,PERSON,2026_09_12
BBC Hindi,कई चीज़ें हैं,PERSON,2026_09_12
BBC Portuguese,Flávio Bolsonaro,PERSON,2026_09_12
BBC Portuguese,Dark Horse',PERSON,2026_09_12
BBC Portuguese,6,CARDINAL,2026_09_12
BBC Portuguese,perguntas,ORG,2026_09_12
BBC Portuguese,para entender inquérito,PERSON,2026_09_12
BBC Portuguese,Mendonça,GPE,2026_09_12
