Source_Name,Entity,Label,Scrape_Date
BBC Mundo,Cómo el peso,ORG,2026_09_18
BBC Mundo,colombiano se convirtió en una de las monedas más,PERSON,2026_09_18
BBC Mundo,2026,DATE,2026_09_18
BBC Mundo,Putin,PERSON,2026_09_18
BBC Mundo,importan,NORP,2026_09_18
BBC Mundo,Rusia,PERSON,2026_09_18
BBC Mundo,el mensaje,ORG,2026_09_18
BBC Mundo,María Elvira Salazar,ORG,2026_09_18
BBC Mundo,plena ola de arrestos,ORG,2026_09_18
BBC Mundo,Macondo Park,GPE,2026_09_18
BBC Mundo,el escenario,ORG,2026_09_18
BBC Mundo,de Europa,PERSON,2026_09_18
BBC Mundo,Shakira,NORP,2026_09_18
BBC Mundo,para su residencia artística,PERSON,2026_09_18
BBC Mundo,Madrid,GPE,2026_09_18
BBC Mundo,las manos,PERSON,2026_09_18
BBC Mundo,para tu salud,PERSON,2026_09_18
BBC Mundo,cometió crímenes de guerra en los ataques contra,ORG,2026_09_18
BBC Mundo,Irán,ORG,2026_09_18
BBC Mundo,La playa de los huesos:,ORG,2026_09_18
BBC Mundo,Rusia,PERSON,2026_09_18
BBC Mundo,la represión soviética,FAC,2026_09_18
BBC Mundo,las pruebas,GPE,2026_09_18
BBC Mundo,un lago,ORG,2026_09_18
BBC Mundo,Quién,PERSON,2026_09_18
BBC Mundo,Robert Kraft,PERSON,2026_09_18
BBC Mundo,el multimillonario,GPE,2026_09_18
BBC Mundo,el centro de la polémica,ORG,2026_09_18
BBC Mundo,la gira de Ed,PERSON,2026_09_18
BBC Mundo,El hermano de Diana de Gales,ORG,2026_09_18
BBC Mundo,Carlos III sonaba,PERSON,2026_09_18
BBC Mundo,de la,PERSON,2026_09_18
BBC Mundo,El caso de los 3,ORG,2026_09_18
BBC Mundo,Venezuela,GPE,2026_09_18
BBC Mundo,Delcy Rodríguez,PERSON,2026_09_18
BBC Hindi,परिवार,NORP,2026_09_18
BBC Hindi,पितृसत्ता की खिसकती,ORG,2026_09_18
BBC Hindi,लाइव,ORG,2026_09_18
BBC Hindi,सिंह,NORP,2026_09_18
BBC Hindi,ज़मानत पर,PERSON,2026_09_18
BBC Hindi,73,CARDINAL,2026_09_18
BBC Hindi,घायल,PERSON,2026_09_18
BBC Hindi,मोदी,PERSON,2026_09_18
BBC Hindi,जारी रखने पर एथलीट ने,PERSON,2026_09_18
BBC Hindi,माफ़ी,ORG,2026_09_18
BBC Hindi,उसके चुनाव,ORG,2026_09_18
BBC Portuguese,Família,NORP,2026_09_18
BBC Portuguese,mais de 80,PERSON,2026_09_18
BBC Portuguese,Quem,GPE,2026_09_18
BBC Portuguese,Anne Frank,PERSON,2026_09_18
BBC Portuguese,9,CARDINAL,2026_09_18
BBC Portuguese,diário mais,PERSON,2026_09_18
BBC Portuguese,Família,ORG,2026_09_18
BBC Portuguese,suspeito de empurrar,PERSON,2026_09_18
BBC Portuguese,frente de ônibus em,PERSON,2026_09_18
BBC Portuguese,2017,DATE,2026_09_18
BBC Portuguese,nova,NORP,2026_09_18
BBC Portuguese,de Eduardo Bolsonaro,PERSON,2026_09_18
BBC Portuguese,Washington,GPE,2026_09_18
BBC Portuguese,contra,NORP,2026_09_18
BBC Portuguese,julgamento,GPE,2026_09_18
BBC Portuguese,de Mendonça,PERSON,2026_09_18
BBC Portuguese,Gilmar Mendes,PERSON,2026_09_18
BBC Portuguese,André,PERSON,2026_09_18
BBC Portuguese,Mendonça,ORG,2026_09_18
BBC Portuguese,Banco Master,ORG,2026_09_18
BBC Portuguese,Lula anuncia reajuste de,PERSON,2026_09_18
BBC Portuguese,15%,PERCENT,2026_09_18
BBC Portuguese,Bolsa Família,PERSON,2026_09_18
BBC Portuguese,Flávio Bolsonaro,PERSON,2026_09_18
BBC Portuguese,Agregador de Pesquisas,ORG,2026_09_18
BBC Portuguese,BBC News,ORG,2026_09_18
BBC Portuguese,Lula x Flávio Bolsonaro,PERSON,2026_09_18
BBC Portuguese,5,CARDINAL,2026_09_18
