Source_Name,Entity,Label
BBC Spanish,Svetlana Alexievich,PERSON
BBC Spanish,the Nobel Prize,WORK_OF_ART
BBC Spanish,Literature,GPE
BBC Spanish,Chernobyl,GPE
BBC Spanish,Epstein,PERSON
BBC Spanish,the US Department of Justice,ORG
BBC Spanish,The United States,GPE
BBC Spanish,second,ORDINAL
BBC Spanish,Venezuela,GPE
BBC Spanish,hundreds of thousands,CARDINAL
BBC Spanish,thousands,CARDINAL
BBC Spanish,Jane Austen,PERSON
BBC Hindi,Osman Hadi's,PERSON
BBC Hindi,24-hour,TIME
BBC Hindi,Genghis Khan,PERSON
BBC Hindi,India,GPE
BBC Hindi,Indian Visa Center,ORG
BBC Hindi,Chittagong,GPE
BBC Hindi,Shubman Gill,PERSON
BBC Hindi,T20 World Cup,EVENT
BBC Hindi,Anurag Dwivedi,PERSON
BBC Hindi,YouTuber,ORG
BBC Hindi,ED,ORG
BBC Hindi,BJP,ORG
BBC Hindi,Nitin Nabin,PERSON
BBC Hindi,Pankaj Chaudhary,ORG
BBC Hindi,BBC Exclusive: Government,ORG
BBC Hindi,India,GPE
BBC Portuguese,Second,ORDINAL
BBC Portuguese,Venezuelan,NORP
BBC Portuguese,US,GPE
BBC Portuguese,Trump,PERSON
BBC Portuguese,Venezuela,GPE
BBC Portuguese,US,GPE
BBC Portuguese,Venezuela,GPE
BBC Portuguese,Ukraine,GPE
BBC Portuguese,Comando Vermelho,ORG
BBC Portuguese,Rio de Janeiro,GPE
BBC Portuguese,Bill Clinton,PERSON
BBC Portuguese,Mick Jagger,PERSON
BBC Portuguese,Michael Jackson,PERSON
BBC Portuguese,Epstein,PRODUCT
BBC Portuguese,US,GPE
BBC Portuguese,Islamic State,ORG
BBC Portuguese,Syria,GPE
BBC Russian,Moscow,GPE
BBC Russian,Zelensky,PERSON
BBC Russian,Warsaw,GPE
BBC Russian,Ukraine,GPE
BBC Russian,Poland,GPE
BBC Russian,Svetlana Alexievich,PERSON
BBC Russian,36.20,CARDINAL
BBC Russian,Trump,ORG
BBC Russian,MAGA,ORG
BBC Russian,US,GPE
BBC Russian,Venezuela,GPE
BBC Russian,War,GPE
BBC Russian,Ukraine,GPE
BBC Russian,Zelensky,PERSON
BBC Russian,SBU,ORG
BBC Russian,two,CARDINAL
BBC Russian,Crimea,GPE
BBC Russian,US,GPE
BBC Russian,Russia,GPE
BBC Russian,Putin,PERSON
BBC Russian,Ukraine,GPE
BBC Russian,Blue Origin,ORG
BBC Russian,first,ORDINAL
BBC Russian,Bill Clinton,PERSON
BBC Russian,Michael Jackson,PERSON
BBC Russian,Mick Jagger,PERSON
BBC Russian,Jeffrey Epstein,PERSON
BBC Russian,2,MONEY
BBC Russian,Rome,GPE
BBC Russian,Trevi Fountain,ORG
BBC Japanese,Putin,PERSON
BBC Japanese,BBC,ORG
BBC Japanese,West,LOC
BBC Japanese,Russia,GPE
BBC Japanese,Putin,PERSON
BBC Japanese,BBC Russia,ORG
BBC Japanese,Western,NORP
BBC Japanese,Russia,GPE
BBC Japanese,US Department of Justice,ORG
BBC Japanese,Epstein,PERSON
BBC Japanese,Democrats,NORP
BBC Japanese,Three,CARDINAL
BBC Japanese,Taipei,GPE
BBC Japanese,Bangladesh,GPE
BBC Japanese,EU,ORG
BBC Japanese,90 billion,CARDINAL
BBC Japanese,Ukraine,GPE
BBC Japanese,Russian,NORP
BBC Japanese,TikTok,ORG
BBC Japanese,U.S.,GPE
BBC Japanese,Bank of Japan,ORG
BBC Japanese,1995,DATE
BBC Japanese,Brown University,ORG
BBC Japanese,MIT,ORG
BBC Swahili,the United States,GPE
BBC Swahili,second,ORDINAL
BBC Swahili,Venezuela,GPE
BBC Swahili,2025,DATE
BBC Swahili,today,DATE
BBC Swahili,AFCON,ORG
BBC Swahili,every four years,DATE
BBC Swahili,2028,DATE
BBC Swahili,European,NORP
BBC Swahili,43,MONEY
BBC Swahili,United,ORG
BBC Swahili,Bruno,ORG
BBC Swahili,Jeffrey Epstein's,PERSON
BBC Swahili,Trump,PERSON
BBC Swahili,MAGA,ORG
BBC Swahili,Five,CARDINAL
BBC Swahili,Africa,LOC
BBC Swahili,AFCON,ORG
BBC Swahili,Kenyan,NORP
BBC Swahili,February 2026,DATE
BBC Swahili,Ukrainian,NORP
BBC Swahili,this Christmas season,DATE
