Source_Name,Entity,Label,Scrape_Date
BBC Mundo,BBC,ORG,2026_07_08
BBC Mundo,Russia,GPE,2026_07_08
BBC Mundo,Ukraine,GPE,2026_07_08
BBC Mundo,Venezuela,GPE,2026_07_08
BBC Mundo,Egypt,GPE,2026_07_08
BBC Mundo,Argentina,GPE,2026_07_08
BBC Mundo,the last minutes,TIME,2026_07_08
BBC Mundo,Messi,PERSON,2026_07_08
BBC Mundo,5,CARDINAL,2026_07_08
BBC Mundo,2026,DATE,2026_07_08
BBC Mundo,first,ORDINAL,2026_07_08
BBC Mundo,Quechua,GPE,2026_07_08
BBC Mundo,Colombia,GPE,2026_07_08
BBC Mundo,the 2026,EVENT,2026_07_08
BBC Mundo,World Cup,EVENT,2026_07_08
BBC Mundo,Argentina,GPE,2026_07_08
BBC Mundo,Egypt,GPE,2026_07_08
BBC Mundo,Switzerland,GPE,2026_07_08
BBC Mundo,Colombia,GPE,2026_07_08
BBC Mundo,the 2026,EVENT,2026_07_08
BBC Mundo,World Cup,EVENT,2026_07_08
BBC Mundo,Chinese,NORP,2026_07_08
BBC Mundo,$325 million,MONEY,2026_07_08
BBC Mundo,Mbappé,PERSON,2026_07_08
BBC Mundo,Paraguayan,NORP,2026_07_08
BBC Mundo,Venezuela,GPE,2026_07_08
BBC Hindi,Sanju Samson,PERSON,2026_07_08
BBC Hindi,Vaibhav Suryavanshi,PERSON,2026_07_08
BBC Hindi,Iran,GPE,2026_07_08
BBC Hindi,America,GPE,2026_07_08
BBC Hindi,Vietnam,GPE,2026_07_08
BBC Hindi,Iran,GPE,2026_07_08
BBC Hindi,America,GPE,2026_07_08
BBC Hindi,Israel,GPE,2026_07_08
BBC Hindi,Khamenei,GPE,2026_07_08
BBC Hindi,hundreds,CARDINAL,2026_07_08
BBC Hindi,Russian,NORP,2026_07_08
BBC Hindi,Ukrainian,GPE,2026_07_08
BBC Hindi,Lawrence Bishnoi,PERSON,2026_07_08
BBC Hindi,Argentina,GPE,2026_07_08
BBC Hindi,Egypt,GPE,2026_07_08
BBC Hindi,Messi,PERSON,2026_07_08
BBC Hindi,Gujarat High Court's,ORG,2026_07_08
BBC Hindi,Pakistani Army,ORG,2026_07_08
BBC Hindi,Indus Water Agreement,WORK_OF_ART,2026_07_08
BBC Hindi,Bilawal Bhutto,ORG,2026_07_08
BBC Portuguese,Trump,ORG,2026_07_08
BBC Portuguese,US,GPE,2026_07_08
BBC Portuguese,Iran,GPE,2026_07_08
BBC Portuguese,Russian,NORP,2026_07_08
BBC Portuguese,Venezuela,GPE,2026_07_08
BBC Portuguese,Flávio Bolsonaro,PERSON,2026_07_08
BBC Portuguese,5 minutes,TIME,2026_07_08
BBC Portuguese,US,GPE,2026_07_08
BBC Portuguese,American,NORP,2026_07_08
BBC Portuguese,MST,ORG,2026_07_08
BBC Portuguese,US,GPE,2026_07_08
BBC Portuguese,the Strait of Hormuz,LOC,2026_07_08
BBC Portuguese,World Cup,EVENT,2026_07_08
BBC Portuguese,Messi,PERSON,2026_07_08
BBC Portuguese,Egypt,GPE,2026_07_08
BBC Portuguese,Flávio Bolsonaro,PERSON,2026_07_08
BBC Portuguese,BBC News,ORG,2026_07_08
BBC Portuguese,Biotônico Fontoura,PERSON,2026_07_08
BBC Portuguese,Monteiro Lobato,PERSON,2026_07_08
BBC Portuguese,Brazilian,NORP,2026_07_08
BBC Portuguese,the 20th century,DATE,2026_07_08
BBC Russian,US,GPE,2026_07_08
BBC Russian,Iran,GPE,2026_07_08
BBC Russian,Trump,ORG,2026_07_08
BBC Russian,War,GPE,2026_07_08
BBC Russian,Ukraine,GPE,2026_07_08
BBC Russian,NATO,ORG,2026_07_08
BBC Russian,Putin,PERSON,2026_07_08
BBC Russian,Iranian,NORP,2026_07_08
BBC Russian,Poland,GPE,2026_07_08
BBC Russian,Ukraine,GPE,2026_07_08
BBC Russian,2022,DATE,2026_07_08
BBC Russian,Kyiv for Patriot,ORG,2026_07_08
BBC Russian,Ukraine,GPE,2026_07_08
BBC Russian,the first day,DATE,2026_07_08
BBC Russian,NATO,ORG,2026_07_08
BBC Russian,Ankara,GPE,2026_07_08
BBC Russian,Egypt,GPE,2026_07_08
BBC Russian,Argentina,GPE,2026_07_08
BBC Russian,16,CARDINAL,2026_07_08
BBC Russian,the 2026 World Cup,EVENT,2026_07_08
BBC Russian,The World Cup,EVENT,2026_07_08
BBC Russian,the last minutes,TIME,2026_07_08
BBC Russian,Ermolaev,PERSON,2026_07_08
BBC Russian,Monaco,GPE,2026_07_08
BBC Russian,Ukraine,GPE,2026_07_08
BBC Russian,The Constitutional Court of Kazakhstan,ORG,2026_07_08
BBC Russian,Tokayev,PERSON,2026_07_08
BBC Russian,2036,DATE,2026_07_08
BBC Russian,Frenchman,ORG,2026_07_08
BBC Russian,IOC,ORG,2026_07_08
BBC Russian,the Russian Olympic Committee,ORG,2026_07_08
BBC Russian,Russian,NORP,2026_07_08
BBC Japanese,US,GPE,2026_07_08
BBC Japanese,Iran,GPE,2026_07_08
BBC Japanese,Iranian,NORP,2026_07_08
BBC Japanese,Trump,ORG,2026_07_08
BBC Japanese,Le Pen,ORG,2026_07_08
BBC Japanese,French,NORP,2026_07_08
BBC Japanese,NATO,ORG,2026_07_08
BBC Japanese,Russian,NORP,2026_07_08
BBC Japanese,2026,CARDINAL,2026_07_08
BBC Japanese,Belgian,NORP,2026_07_08
BBC Japanese,Trump,ORG,2026_07_08
BBC Japanese,Hungarian,NORP,2026_07_08
BBC Japanese,Orbán,NORP,2026_07_08
BBC Japanese,Russia,GPE,2026_07_08
BBC Japanese,2028,DATE,2026_07_08
BBC Japanese,Los Angeles Olympics,EVENT,2026_07_08
BBC Japanese,IOC,ORG,2026_07_08
BBC Japanese,Syrian,NORP,2026_07_08
BBC Japanese,French,NORP,2026_07_08
BBC Japanese,18,CARDINAL,2026_07_08
BBC Japanese,Monaco,GPE,2026_07_08
BBC Japanese,Ukrainian,GPE,2026_07_08
BBC Japanese,Ukraine,GPE,2026_07_08
BBC Japanese,UK,GPE,2026_07_08
BBC Japanese,Reform,ORG,2026_07_08
