Source_Name,Entity,Label
BBC Hindi,Tejashwi Yadav,PERSON
BBC Hindi,CM,ORG
BBC Hindi,Grand Alliance,ORG
BBC Hindi,NDA,ORG
BBC Hindi,JNU Students Union,ORG
BBC Hindi,4th,ORDINAL
BBC Hindi,November,DATE
BBC Hindi,6th,ORDINAL
BBC Hindi,November,DATE
BBC Hindi,Dalit,PERSON
BBC Hindi,three,CARDINAL
BBC Hindi,Dalit,PERSON
BBC Hindi,15 days,DATE
BBC Hindi,Putin,PERSON
BBC Hindi,Trump,PERSON
BBC Hindi,Russian,NORP
BBC Hindi,India,GPE
BBC Hindi,Women's World Cup,ORG
BBC Hindi,Indian,NORP
BBC Hindi,Trump-Putin,ORG
BBC Hindi,Russia,GPE
BBC Hindi,Ukraine,GPE
BBC Hindi,seven,CARDINAL
BBC Hindi,Bihar,GPE
BBC Hindi,"2,59",CARDINAL
BBC Hindi,Bihar,GPE
BBC Portuguese,Brazilians,NORP
BBC Portuguese,African,NORP
BBC Portuguese,millions,CARDINAL
BBC Portuguese,ALS,ORG
BBC Portuguese,Uruguay,GPE
BBC Portuguese,China,GPE
BBC Portuguese,Asian,NORP
BBC Portuguese,Brazil,GPE
BBC Portuguese,Trump,ORG
BBC Portuguese,Pacific,LOC
BBC Portuguese,5,CARDINAL
BBC Portuguese,Hunter,PERSON
BBC Portuguese,YouTuber,GPE
BBC Portuguese,São Paulo,GPE
BBC Portuguese,Leonardo DiCaprio,PERSON
BBC Portuguese,Charles,PERSON
BBC Portuguese,first,ORDINAL
BBC Portuguese,British,NORP
BBC Portuguese,500 years,DATE
BBC Portuguese,years,DATE
BBC Portuguese,Russian,NORP
BBC Portuguese,India,GPE
BBC Portuguese,Louvre,PERSON
BBC Russian,Putin,PERSON
BBC Russian,Hungary,GPE
BBC Russian,the United States,GPE
BBC Russian,Rosneft,ORG
BBC Russian,Lukoil,ORG
BBC Russian,Seven,CARDINAL
BBC Russian,Russia,GPE
BBC Russian,Azerbaijan,GPE
BBC Russian,the second day,DATE
BBC Russian,Dublin,GPE
BBC Russian,Russia,GPE
BBC Russian,The European Union,ORG
BBC Russian,Russia,GPE
BBC Russian,19th,ORDINAL
BBC Russian,War,GPE
BBC Russian,Ukraine,GPE
BBC Russian,Putin,PERSON
BBC Russian,Budapest,GPE
BBC Russian,Kramnik,PERSON
BBC Russian,Naroditsky,PERSON
BBC Russian,FBK,ORG
BBC Russian,Russia,GPE
BBC Russian,Belarusian,NORP
BBC Russian,Andrzej Poczobut,PERSON
BBC Russian,Georgian,NORP
BBC Russian,Mzie Amaglobeli,PERSON
BBC Russian,Kadyrov,PERSON
BBC Russian,Chechen,NORP
BBC Russian,Yerevan,PERSON
BBC Russian,6.10,CARDINAL
BBC Japanese,Israel,GPE
BBC Japanese,Gaza,GPE
BBC Japanese,International Court of Justice,ORG
BBC Japanese,Gaza,GPE
BBC Japanese,BBC,ORG
BBC Japanese,US,GPE
BBC Japanese,Russia,GPE
BBC Japanese,Trump,ORG
BBC Japanese,Putin,PERSON
BBC Japanese,U.S.,GPE
BBC Japanese,Pacific,LOC
BBC Japanese,Defense,ORG
BBC Japanese,First,ORDINAL
BBC Japanese,Iceland,GPE
BBC Japanese,May,DATE
BBC Japanese,Russia,GPE
BBC Japanese,Ukrainian,GPE
BBC Japanese,US,GPE
BBC Japanese,France,GPE
BBC Japanese,Louvre Museum,ORG
BBC Japanese,first,ORDINAL
BBC Japanese,Takaichi,ORG
BBC Japanese,Japan,GPE
BBC Japanese,first,ORDINAL
BBC Japanese,"the ""Iron Lady",LAW
BBC Japanese,British,NORP
BBC Japanese,Thatcher,PERSON
BBC Swahili,Trump,ORG
BBC Swahili,Putin,PERSON
BBC Swahili,Tanzania,GPE
BBC Swahili,2025,DATE
BBC Swahili,Five,CARDINAL
BBC Swahili,Zanzibar,ORG
BBC Swahili,Gen Z,PERSON
BBC Swahili,Kenya,GPE
BBC Swahili,European Football Rumors,ORG
BBC Swahili,Thursday,DATE
BBC Swahili,Michael Olise,PERSON
BBC Swahili,Bayern Munich,LOC
BBC Swahili,2029,DATE
BBC Swahili,CHADEMA,ORG
BBC Swahili,John Heche,PERSON
BBC Swahili,Tarime Tanzania,ORG
BBC Swahili,Somali,NORP
BBC Swahili,Trump,PERSON
BBC Swahili,Gaza,GPE
BBC Swahili,Ukraine,GPE
BBC Swahili,Will Putin's,PERSON
BBC Swahili,EU,ORG
BBC Swahili,Hungary,GPE
BBC Swahili,Khamenei,PERSON
BBC Swahili,Trump,ORG
BBC Swahili,'Gen Z',WORK_OF_ART
