Source_Name,Original_Headline,Translated_Headline,Polarity
BBC Spanish,Caso Wallace: las dudas y controversias que aún rodean a uno de los secuestros más mediáticos de la historia de México,Wallace case: the doubts and controversies that still surround one of the most media kidnappings in the history of Mexico,0.5
BBC Spanish,Mueren al menos 4 personas en un tiroteo y un incendio en una iglesia mormona en Michigan,At least 4 people die in a shooting and a fire in a Mormon church in Michigan,-0.3
BBC Spanish,Bad Bunny actuará en el espectáculo del medio tiempo del Super Bowl en febrero,Bad Bunny will perform in the mid -time show of the Super Bowl in February,-0.1222222222222221
BBC Spanish,"""Un reto de ingeniería extremo"": la extraordinaria inversión de las grandes empresas de IA en centros de datos a ""hiperescala""","""An extreme engineering challenge"": the extraordinary investment of large companies in data centers to ""hyperscale""",0.1408730158730158
BBC Spanish,"El rey que murió asesinado cuando iba a besar a su sobrino, en un regicidio que sacudió a Arabia Saudita hace 50 años","The king who died murdered when he was going to kiss his nephew, in a regicide that shook Saudi Arabia 50 years ago",0.0
BBC Hindi,हार्ट अटैक के रिस्क को कम करने और दिल को सेहतमंद रखने का ये हो सकता है तरीका,This may be the way to reduce the risk of heart attack and keep the heart healthy,0.5
BBC Hindi,"लाइव,क्रिस वोक्स ने अंतरराष्ट्रीय क्रिकेट से रिटायरमेंट का एलान किया","Live, Chris Woakes announced retirement from international cricket",0.0681818181818181
BBC Hindi,अमेरिका को भारत के बजाय पाकिस्तान से दोस्ती करने में क्यों फ़ायदा नज़र आ रहा है?,Why is America a benefit in befriending Pakistan instead of India?,0.0
BBC Hindi,एशिया कप फ़ाइनल में टीम की परफॉर्मेंस देख भड़के पूर्व पाकिस्तानी क्रिकेटर क्या कह रहे हैं,"Seeing the team's performance in the Asia Cup final, what are the former Pakistani cricketers saying",0.0
BBC Hindi,माओवादियों के ख़िलाफ़ मोर्चे पर तैनात डीआरजी का आँखों देखा हाल और आदिवासियों की आपबीती- ग्राउंड रिपोर्ट,The eyes of the DRG stationed on the front against the Maoists and the tribals' incidents- ground report,0.0
BBC Portuguese,"O que é o metanol, substância ilegal em bebidas que causou cegueira e danos cerebrais em jovens de SP","What is methanol, an illegal substance in beverages that caused blindness and brain damage in young people in SP",-0.2
BBC Portuguese,"Miguel, Rafael e Gabriel, os anjos que são reverenciados em três diferentes religiões","Miguel, Rafael and Gabriel, the angels who are revered in three different religions",0.0
BBC Portuguese,4 momentos que contam a história da destruição das ferrovias no Brasil,4 moments that tell the history of the destruction of railways in Brazil,0.0
BBC Portuguese,Como evitar comer microplásticos presentes na nossa comida,How to avoid eating microplastics present in our food,0.0
BBC Portuguese,O que se sabe sobre ataque com 4 mortes em igreja mórmon nos EUA,What is known about attack with 4 Mormon Church deaths in the USA,0.0
BBC Russian,«Кремль будет повышать ставки». Замминистра обороны Украины прогнозирует усиление российских ударов,"""The Kremlin will increase bets."" Deputy Minister of Defense of Ukraine predicts the strengthening of Russian strokes",0.0
BBC Russian,Трамп будет продвигать новый мирный план на переговорах с Нетаньяху,Trump will promote a new peace plan in negotiations with Netanyahu,0.1363636363636363
BBC Russian,"LIVELive,Война в Украине: в Кремле «внимательно анализируют» заявления о возможной передаче Украине ракет Tomahawk","Livelive, War in Ukraine: The Kremlin “carefully analyzes” applications for the possible transfer of Tomahawk missiles to Ukraine",-0.05
BBC Russian,«Пожарная команда Сырского». Как и зачем Украина создает штурмовые войска?,"""Fire team of Syresky."" How and why Ukraine creates assault troops?",0.0
BBC Russian,«Тебе больше никогда не придется зарабатывать на жизнь». Хакеры  предложили корреспонденту деньги за взлом Би-би-си,"""You will never have to earn a living again."" Hackers offered the correspondent money for hacking BBC",0.0
BBC Japanese,シンガポール、香港の民主活動家の入国拒否　「国益に適さない」と,"Singapore and Hong Kong's democratic activists refuse to enter Japan saying ""not suitable for national interests""",-0.275
BBC Japanese,米ミシガン州のモルモン教会で銃撃・放火、少なくとも4人死亡,At least four people killed in arson shooting and arson at Mormon Church in Michigan,-0.25
BBC Japanese,"ビデオ,住宅地の中心に着弾　ロシアの攻撃受けたキーウからBBC報告, 所要時間 2,34","Video, BBC report from Kiu attacked by Russia, travel time: 2,34",0.0
BBC Japanese,米オレゴン州、トランプ政権を提訴　派兵計画は「違法」と,"Oregon, US state, filed a lawsuit against Trump administration; plans to send troops are ""illegal""",-0.5
BBC Japanese,ゼレンスキー大統領、ロシアの「卑劣」な12時間空爆を非難,"President Zelensky criticizes Russia's ""despicable"" 12-hour air strike",0.0
