Source_Name,Entity,Label,Scrape_Date
BBC Mundo,García Lorca's,PERSON,2026_08_16
BBC Mundo,90 years,DATE,2026_08_16
BBC Mundo,the Spanish Civil War,EVENT,2026_08_16
BBC Mundo,Iran,GPE,2026_08_16
BBC Mundo,the United States,GPE,2026_08_16
BBC Mundo,Daniela Largo,PERSON,2026_08_16
BBC Mundo,36 hours,TIME,2026_08_16
BBC Mundo,Colombia,GPE,2026_08_16
BBC Mundo,Nagasaki,ORG,2026_08_16
BBC Mundo,Japan,GPE,2026_08_16
BBC Mundo,Armenia,ORG,2026_08_16
BBC Mundo,Colombia,GPE,2026_08_16
BBC Mundo,1999,DATE,2026_08_16
BBC Mundo,first,ORDINAL,2026_08_16
BBC Mundo,Spain,GPE,2026_08_16
BBC Mundo,Saavedra,PERSON,2026_08_16
BBC Mundo,two,CARDINAL,2026_08_16
BBC Mundo,Colombia,GPE,2026_08_16
BBC Mundo,Taliban,ORG,2026_08_16
BBC Mundo,Afghanistan,GPE,2026_08_16
BBC Hindi,Tesla,NORP,2026_08_16
BBC Hindi,Varanasi,LOC,2026_08_16
BBC Hindi,Pakistan,GPE,2026_08_16
BBC Hindi,Asif Ali Zardari,PERSON,2026_08_16
BBC Hindi,Hindus,NORP,2026_08_16
BBC Hindi,Javed Akhtar,PERSON,2026_08_16
BBC Hindi,Mecca Defense Agreement: How,ORG,2026_08_16
BBC Hindi,Saudi,NORP,2026_08_16
BBC Hindi,Türkiye,GPE,2026_08_16
BBC Hindi,Pakistan,GPE,2026_08_16
BBC Hindi,India,GPE,2026_08_16
BBC Hindi,Air India,ORG,2026_08_16
BBC Hindi,Red Fort,LOC,2026_08_16
BBC Hindi,One,CARDINAL,2026_08_16
BBC Hindi,Nehru,PERSON,2026_08_16
BBC Hindi,Jairam Ramesh,PERSON,2026_08_16
BBC Hindi,Vande Mataram,ORG,2026_08_16
BBC Hindi,Congress,ORG,2026_08_16
BBC Portuguese,Russia Seizes Homes,ORG,2026_08_16
BBC Portuguese,Ukraine,GPE,2026_08_16
BBC Portuguese,2032,DATE,2026_08_16
BBC Portuguese,Pablo Marçal,PERSON,2026_08_16
BBC Portuguese,PRTB,ORG,2026_08_16
