Source_Name,Original_Headline,Translated_Headline,Polarity,Scrape_Date
BBC Spanish,"""Estamos cerca de alcanzar la paz"": la respuesta de Hamás al plan de Trump para Gaza despierta el optimismo pero tiene omisiones clave","""We are close to reaching peace"": Hamas's response to Trump's plan for Gaza awakens optimism but has key omissions",0.0,2025_10_04
BBC Spanish,Hamás accede a liberar rehenes y Trump le dice a Israel que detenga de inmediato los bombardeos sobre Gaza,Hamas agrees to release Haranes and Trump tells Israel to immediately stop the bombings on Gaza,0.0,2025_10_04
BBC Spanish,Gisèle Pelicot regresa a los tribunales tras el juicio que la convirtió en un ícono y destrozó a su familia,Gisèle Pelicot returns to the courts after the trial that made her an icon and destroyed her family,0.0,2025_10_04
BBC Spanish,"La historia de William Taynton, el joven oficinista que se convirtió en la primera persona del mundo en aparecer en TV","The story of William Taynton, the young office worker who became the first person in the world to appear on TV",0.175,2025_10_04
BBC Spanish,"Andrea Casamento, la argentina que se casó con un preso al que conoció cuando visitaba a su hijo en la cárcel","Andrea Casamento, Argentina who married a prisoner he met when he visited her son in jail",0.075,2025_10_04
BBC Hindi,"रोहित शर्मा को वनडे की कप्तानी से हटाने पर उठे सवाल, क्या कह रहे हैं पूर्व क्रिकेटर","Questions raised on the removal of Rohit Sharma from ODI captaincy, what are the former cricketers saying",0.0,2025_10_04
BBC Hindi,"लाइव,ट्रंप के प्लान पर हमास की सहमति के बाद ग़ज़ा के लोग जता रहे हैरानी","Live, people of Gaza are expressing gathering after Hamas's consent on Trump's plan",0.1363636363636363,2025_10_04
BBC Hindi,"मध्य प्रदेश और राजस्थान में बच्चों की मौत का कफ़ सिरप से क्या है नाता, एक्सपर्ट्स क्या कहते हैं?","What is the relationship with the death of children in Madhya Pradesh and Rajasthan, what do experts say?",0.0,2025_10_04
BBC Hindi,"ठगी के पैसों से 60,000 करोड़ रुपये के बिटकॉइन खरीदने वाली महिला ऐसे बनी 'गॉडेस ऑफ़ वेल्थ'","A woman who bought bitcoins worth Rs 60,000 crore with cheating money became 'Gods of Wealth'",0.3,2025_10_04
BBC Hindi,लद्दाख में 24 सितंबर को आख़िर ऐसा क्या हुआ कि प्रदर्शन ने हिंसक मोड़ ले लिया?,What happened in Ladakh on 24 September that the performance took a violent turn?,-0.8,2025_10_04
BBC Hindi,रवींद्र जडेजा ने सिर्फ़ तीन दिन में वेस्टइंडीज़ के ख़िलाफ़ कैसे लिख दी जीत की पटकथा,Ravindra Jadeja wrote the script of victory against West Indies in just three days,0.0,2025_10_04
BBC Hindi,चार देशों के दौरे पर राहुल गांधी ने ऐसा क्या कहा जिस पर बीजेपी बोली 'अद्भुत इंजीनियरिंग ज्ञान',What did Rahul Gandhi say on a tour of four countries on which the BJP bid 'amazing engineering knowledge',0.6000000000000001,2025_10_04
BBC Hindi,"वीडियो,क्या अपने साझीदारों का भरोसा खो रहे हैं ट्रंप?- द लेंस, अवधि 32,14","Video, are Trump losing the trust of their partners?- The Lens, Duration 32,14",0.0,2025_10_04
BBC Hindi,अमेरिका के बाद यूरोप और ऑस्ट्रेलिया में क्यों बढ़ रहा है भारतीयों का विरोध,Why Indians are increasing in Europe and Australia after America,0.0,2025_10_04
BBC Portuguese,O que falta para que Lula e Trump conversem de novo?,What is missing for Lula and Trump to talk again?,-0.2,2025_10_04
BBC Portuguese,"Hamas aceita libertar reféns após ultimato de Trump, mas quer mudanças em plano para Gaza","Hamas agrees to release hostages after Trump's ultimatum, but wants changes in the plan for Gaza",0.2,2025_10_04
BBC Portuguese,"Resposta do Hamas ao plano de Trump para Gaza desperta otimismo, mas ainda há lacunas importantes","Hamas's response to Trump's plan for Gaza arouses optimism, but there are still important gaps",0.4,2025_10_04
BBC Portuguese,"Quem é Sanae Takaichi, que deve se tornar primeira premiê mulher do Japão","Who is Sanae Takaichi, who should become the first premie woman from Japan",0.25,2025_10_04
BBC Portuguese,Por que Gisèle Pelicot voltará ao tribunal após virar símbolo da luta contra o estupro — e ter sua família destruída,Why Gisèle Pelicot will return to court after becoming a symbol of the fight against rape - and having his family destroyed,0.45,2025_10_04
BBC Portuguese,"A história de São Francisco de Assis, o santo que via irmãos em todas as espécies","The story of St. Francis of Assisi, the saint who saw brothers in all species",0.0,2025_10_04
BBC Portuguese,Seus amigos estão sugando sua energia? Três caminhos para lidar com 'vampiros sociais',Are your friends sucking your energy? Three ways to deal with 'social vampires',0.0333333333333333,2025_10_04
BBC Portuguese,'Aceitei um emprego por impulso num réveillon e acabei presa no mar por 6 meses','I accepted an impulse job in a New Year's Eve and ended up trapped in the sea for 6 months',-0.0318181818181818,2025_10_04
BBC Portuguese,Rapper Sean Diddy é condenado a mais de quatro anos de prisão em caso de prostituição,Rapper Sean Diddy is sentenced to more than four years in prison in case of prostitution,0.5,2025_10_04
BBC Russian,"Результаты выборов в Чехии: партия евроскептика Бабиша лидирует, но самостоятельно создать правительство не сможет","Elections in the Czech Republic: the Babish euroskeptic party is the leader, but the government will not be able to create",0.5,2025_10_04
BBC Russian,"LIVELive,Война в Украине: Россия ударила по вокзалу в Сумской области, Украина атаковала Киришский НПЗ под Петербургом","Livelive, War in Ukraine: Russia hit the station in the Sumy region, Ukraine attacked the Kirishi refineries near St. Petersburg",0.1,2025_10_04
BBC Russian,"Россия атаковала поезд в Шостке Сумской области. Город остался без света, есть погибший","Russia attacked a train in Shostka of the Sumy region. The city was left without light, there is a dead",0.0666666666666666,2025_10_04
BBC Russian,Лидером правящей партии Японии избрана Санаэ Такаити. Она может стать первой женщиной на посту премьер-министра страны,The leader of the ruling party of Japan was chosen by Sanaae Takaiti. She can be the first woman as Prime Minister of the country,0.25,2025_10_04
BBC Russian,Троянский конь внутри орла. Как американский герб «шпионил» за посольством в СССР,"Trojan horse inside the eagle. As an American coat of arms ""Spynil"" for the embassy in the USSR",0.0,2025_10_04
BBC Russian,Как Китай стал новой энергетической сверхдержавой и чем это грозит России и Западу,How China has become a new energy superpower and how it threatens Russia and the West,0.1363636363636363,2025_10_04
BBC Russian,"Оливковое, сливочное или рапсовое? Какое масло выбрать для готовки","Olive, cream or rapeseed? Which oil to choose for cooking",0.0,2025_10_04
BBC Russian,«Не хотелось жить в Москве в панельном доме». Нина Кутина — о жизни в индийской пещере и возвращении в Россию,"""I did not want to live in Moscow in a panel house."" Nina Kutina - about life in the Indian cave and returning to Russia",0.1363636363636363,2025_10_04
BBC Russian,ХАМАС согласился освободить всех израильских заложников. Трамп призвал Израиль немедленно прекратить удары по Газе,Hamas agreed to free all Israeli hostages. Trump called for Israel immediately to stop attacks on gas,0.4,2025_10_04
BBC Russian,Известный 23-летний скалолаз погиб после падения с Эль-Капитана в национальном парке Йосемити,Famous 23-year-old climbing died after a fall from El Capital in the Yosemiti National Park,0.5,2025_10_04
BBC Japanese,高市早苗氏、自民党の新総裁に選出　日本初の女性首相となる見通し,Takaichi Sanae is expected to become Japan's first female prime minister as new president of the LDP,0.0715909090909091,2025_10_04
BBC Japanese,ハマス、人質の解放に同意　トランプ氏はイスラエルにガザ攻撃停止を要求,Hamas agrees to release hostages; Trump demands Israel to stop attack on Gaza,0.0,2025_10_04
BBC Japanese,英カンタベリー大主教に初の女性、マラーリー氏指名　約1年の空席経て,"Marary is the first woman to become the Archbishop of Canterbury, and has been vacant for about a year",0.25,2025_10_04
BBC Japanese,英マンチェスターのシナゴーグ襲撃、襲撃犯はレイプ容疑で逮捕後に保釈中と警察発表,"Police announce that attacker in synagogue in Manchester, UK, is on bail after arrest on suspicion of rape",-0.05,2025_10_04
BBC Japanese,独ミュンヘン空港にまたドローン飛来、24時間以内で2度目の一時閉鎖,"Drones fly back to Munich Airport, Germany, closing for the second time within 24 hours",0.2666666666666666,2025_10_04
