Source_Name,Entity,Label
BBC Spanish,Trump,ORG
BBC Spanish,first,ORDINAL
BBC Spanish,Israel,GPE
BBC Spanish,Hamas,ORG
BBC Spanish,Gaza,GPE
BBC Spanish,Palestinian,NORP
BBC Spanish,one,CARDINAL
BBC Spanish,3,CARDINAL
BBC Spanish,Daniel Noboa's,PERSON
BBC Spanish,Ecuador,GPE
BBC Spanish,Monterrey,GPE
BBC Spanish,Mexico,GPE
BBC Spanish,Trump,ORG
BBC Spanish,the age of 16,DATE
BBC Hindi,Amir Khan Muttaqi,PERSON
BBC Hindi,Taliban,ORG
BBC Hindi,UN,ORG
BBC Hindi,Mayawati,GPE
BBC Hindi,Samajwadi Party,ORG
BBC Hindi,BJP,ORG
BBC Hindi,Iqra Hassan,PERSON
BBC Hindi,Muslim,NORP
BBC Hindi,the last 74 years,DATE
BBC Hindi,Nobel Peace Prize,WORK_OF_ART
BBC Hindi,Israel,GPE
BBC Hindi,Pakistan,GPE
BBC Hindi,Trump,ORG
BBC Hindi,Vivek Ramaswami,PERSON
BBC Hindi,Hindu,NORP
BBC Hindi,Egypt,GPE
BBC Hindi,first,ORDINAL
BBC Hindi,Israel,GPE
BBC Hindi,India,GPE
BBC Hindi,WhatsApp,ORG
BBC Hindi,OTP,ORG
BBC Hindi,India,GPE
BBC Portuguese,Millionaires,ORG
BBC Portuguese,IR,ORG
BBC Portuguese,Lula,PERSON
BBC Portuguese,Hamas,ORG
BBC Portuguese,Israel,GPE
BBC Portuguese,first,ORDINAL
BBC Portuguese,Gaza,GPE
BBC Portuguese,Brazilian,NORP
BBC Portuguese,Cristina Kirchner,PERSON
BBC Portuguese,0.44,CARDINAL
BBC Portuguese,Brazil,GPE
BBC Portuguese,5,CARDINAL
BBC Portuguese,São Paulo,GPE
BBC Portuguese,US,GPE
BBC Portuguese,Colombian,NORP
BBC Portuguese,Aggression,PERSON
BBC Portuguese,Latin America',LOC
BBC Portuguese,Brazilians,NORP
BBC Portuguese,Trump,ORG
BBC Portuguese,100 years,DATE
BBC Portuguese,India,GPE
BBC Russian,Russian,NORP
BBC Russian,Molecule,ORG
BBC Russian,Trump,ORG
BBC Russian,Israel,GPE
BBC Russian,Hamas,ORG
BBC Russian,first,ORDINAL
BBC Russian,Gaza,GPE
BBC Russian,Macron,ORG
BBC Russian,French,NORP
BBC Russian,48 hours,TIME
BBC Russian,War,GPE
BBC Russian,Ukraine,GPE
BBC Russian,three,CARDINAL
BBC Russian,Sumy,ORG
BBC Russian,Metropolitan Tikhon Shevkunov,ORG
BBC Russian,US,GPE
BBC Russian,Trump,ORG
BBC Russian,Egypt,GPE
BBC Russian,Gaza,GPE
BBC Russian,Ethiopia,GPE
BBC Russian,Eritrea,GPE
BBC Russian,France,GPE
BBC Russian,Manchester,PRODUCT
BBC Russian,Britain,GPE
BBC Russian,Jewish,NORP
BBC Russian,The Nobel Prize in Chemistry,WORK_OF_ART
BBC Russian,the 21st century,DATE
BBC Japanese,Israel,GPE
BBC Japanese,Hamas,ORG
BBC Japanese,first,ORDINAL
BBC Japanese,Gaza,GPE
BBC Japanese,Trump,ORG
BBC Japanese,Gaza,GPE
BBC Japanese,first,ORDINAL
BBC Japanese,Nobel Prize in Chemistry,WORK_OF_ART
BBC Japanese,Susumu Kitagawa,PERSON
BBC Japanese,three,CARDINAL
BBC Japanese,Ukraine,GPE
BBC Japanese,Russia,GPE
BBC Japanese,3,CARDINAL
BBC Japanese,3rd day in a row,DATE
BBC Japanese,the London Metropolitan Police's,ORG
BBC Japanese,"40,000",CARDINAL
BBC Japanese,China,GPE
BBC Japanese,last year,DATE
BBC Japanese,"2,48",CARDINAL
BBC Japanese,Two years,DATE
BBC Japanese,Hamas,ORG
BBC Japanese,Israel,GPE
BBC Japanese,Gaza,GPE
BBC Japanese,second day,DATE
BBC Japanese,Egypt,GPE
BBC Japanese,Nobel Prize,WORK_OF_ART
BBC Japanese,Physics,ORG
BBC Japanese,three,CARDINAL
BBC Japanese,US,GPE
BBC Japanese,Palestinians,NORP
BBC Japanese,two years,DATE
BBC Swahili,Trump,ORG
BBC Swahili,first,ORDINAL
BBC Swahili,Gaza,GPE
BBC Swahili,Ethiopia,GPE
BBC Swahili,Eritrea,GPE
BBC Swahili,Red Sea,LOC
BBC Swahili,European,NORP
BBC Swahili,Thursday,DATE
BBC Swahili,Fernandes,PERSON
BBC Swahili,Amnesty International,ORG
BBC Swahili,Tanzanian,NORP
BBC Swahili,US,GPE
BBC Swahili,about the night,TIME
BBC Swahili,Iran,GPE
BBC Swahili,Israel,GPE
BBC Swahili,first,ORDINAL
BBC Swahili,Ronaldo,PERSON
BBC Swahili,first,ORDINAL
BBC Swahili,2025,CARDINAL
BBC Swahili,Three,CARDINAL
BBC Swahili,Zanzibar,NORP
BBC Swahili,Tanzania,GPE
BBC Swahili,BBC Roses,ORG
BBC Swahili,Kenyan,NORP
