Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Source_Name,Entity,Label
https://www.bbc.com/mundo,es,Caso Wallace: las dudas y controversias que aún rodean a uno de los secuestros más mediáticos de la historia de México,Wallace case: the doubts and controversies that still surround one of the most media kidnappings in the history of Mexico,0.5,Mundo,Wallace,PERSON
https://www.bbc.com/mundo,es,Caso Wallace: las dudas y controversias que aún rodean a uno de los secuestros más mediáticos de la historia de México,Wallace case: the doubts and controversies that still surround one of the most media kidnappings in the history of Mexico,0.5,Mundo,one,CARDINAL
https://www.bbc.com/mundo,es,Caso Wallace: las dudas y controversias que aún rodean a uno de los secuestros más mediáticos de la historia de México,Wallace case: the doubts and controversies that still surround one of the most media kidnappings in the history of Mexico,0.5,Mundo,Mexico,GPE
https://www.bbc.com/mundo,es,Mueren al menos 4 personas en un tiroteo y un incendio en una iglesia mormona en Michigan,At least 4 people die in a shooting and a fire in a Mormon church in Michigan,-0.3,Mundo,At least 4,CARDINAL
https://www.bbc.com/mundo,es,Mueren al menos 4 personas en un tiroteo y un incendio en una iglesia mormona en Michigan,At least 4 people die in a shooting and a fire in a Mormon church in Michigan,-0.3,Mundo,Mormon,NORP
https://www.bbc.com/mundo,es,Mueren al menos 4 personas en un tiroteo y un incendio en una iglesia mormona en Michigan,At least 4 people die in a shooting and a fire in a Mormon church in Michigan,-0.3,Mundo,Michigan,GPE
https://www.bbc.com/mundo,es,Bad Bunny actuará en el espectáculo del medio tiempo del Super Bowl en febrero,Bad Bunny will perform in the mid -time show of the Super Bowl in February,-0.1222222222222221,Mundo,Bad Bunny,PERSON
https://www.bbc.com/mundo,es,Bad Bunny actuará en el espectáculo del medio tiempo del Super Bowl en febrero,Bad Bunny will perform in the mid -time show of the Super Bowl in February,-0.1222222222222221,Mundo,the Super Bowl,EVENT
https://www.bbc.com/mundo,es,Bad Bunny actuará en el espectáculo del medio tiempo del Super Bowl en febrero,Bad Bunny will perform in the mid -time show of the Super Bowl in February,-0.1222222222222221,Mundo,February,DATE
https://www.bbc.com/mundo,es,"El rey que murió asesinado cuando iba a besar a su sobrino, en un regicidio que sacudió a Arabia Saudita hace 50 años","The king who died murdered when he was going to kiss his nephew, in a regicide that shook Saudi Arabia 50 years ago",0.0,Mundo,Saudi Arabia,GPE
https://www.bbc.com/mundo,es,"El rey que murió asesinado cuando iba a besar a su sobrino, en un regicidio que sacudió a Arabia Saudita hace 50 años","The king who died murdered when he was going to kiss his nephew, in a regicide that shook Saudi Arabia 50 years ago",0.0,Mundo,50 years ago,DATE
https://www.bbc.com/hindi,hi,"लाइव,क्रिस वोक्स ने अंतरराष्ट्रीय क्रिकेट से रिटायरमेंट का एलान किया","Live, Chris Woakes announced retirement from international cricket",0.0681818181818181,Hindi,Chris Woakes,PERSON
https://www.bbc.com/hindi,hi,अमेरिका को भारत के बजाय पाकिस्तान से दोस्ती करने में क्यों फ़ायदा नज़र आ रहा है?,Why is America a benefit in befriending Pakistan instead of India?,0.0,Hindi,America,GPE
https://www.bbc.com/hindi,hi,अमेरिका को भारत के बजाय पाकिस्तान से दोस्ती करने में क्यों फ़ायदा नज़र आ रहा है?,Why is America a benefit in befriending Pakistan instead of India?,0.0,Hindi,Pakistan,GPE
https://www.bbc.com/hindi,hi,अमेरिका को भारत के बजाय पाकिस्तान से दोस्ती करने में क्यों फ़ायदा नज़र आ रहा है?,Why is America a benefit in befriending Pakistan instead of India?,0.0,Hindi,India,GPE
https://www.bbc.com/hindi,hi,एशिया कप फ़ाइनल में टीम की परफॉर्मेंस देख भड़के पूर्व पाकिस्तानी क्रिकेटर क्या कह रहे हैं,"Seeing the team's performance in the Asia Cup final, what are the former Pakistani cricketers saying",0.0,Hindi,Pakistani,NORP
https://www.bbc.com/hindi,hi,माओवादियों के ख़िलाफ़ मोर्चे पर तैनात डीआरजी का आँखों देखा हाल और आदिवासियों की आपबीती- ग्राउंड रिपोर्ट,The eyes of the DRG stationed on the front against the Maoists and the tribals' incidents- ground report,0.0,Hindi,DRG,ORG
https://www.bbc.com/hindi,hi,माओवादियों के ख़िलाफ़ मोर्चे पर तैनात डीआरजी का आँखों देखा हाल और आदिवासियों की आपबीती- ग्राउंड रिपोर्ट,The eyes of the DRG stationed on the front against the Maoists and the tribals' incidents- ground report,0.0,Hindi,Maoists,NORP
https://www.bbc.com/portuguese,pt,"Miguel, Rafael e Gabriel, os anjos que são reverenciados em três diferentes religiões","Miguel, Rafael and Gabriel, the angels who are revered in three different religions",0.0,Portuguese,Miguel,PERSON
https://www.bbc.com/portuguese,pt,"Miguel, Rafael e Gabriel, os anjos que são reverenciados em três diferentes religiões","Miguel, Rafael and Gabriel, the angels who are revered in three different religions",0.0,Portuguese,Rafael,PERSON
https://www.bbc.com/portuguese,pt,"Miguel, Rafael e Gabriel, os anjos que são reverenciados em três diferentes religiões","Miguel, Rafael and Gabriel, the angels who are revered in three different religions",0.0,Portuguese,Gabriel,PERSON
https://www.bbc.com/portuguese,pt,"Miguel, Rafael e Gabriel, os anjos que são reverenciados em três diferentes religiões","Miguel, Rafael and Gabriel, the angels who are revered in three different religions",0.0,Portuguese,three,CARDINAL
https://www.bbc.com/portuguese,pt,4 momentos que contam a história da destruição das ferrovias no Brasil,4 moments that tell the history of the destruction of railways in Brazil,0.0,Portuguese,Brazil,GPE
https://www.bbc.com/portuguese,pt,Como evitar comer microplásticos presentes na nossa comida,How to avoid eating microplastics present in our food,0.0,Portuguese,microplastics,ORDINAL
https://www.bbc.com/portuguese,pt,O que se sabe sobre ataque com 4 mortes em igreja mórmon nos EUA,What is known about attack with 4 Mormon Church deaths in the USA,0.0,Portuguese,4,CARDINAL
https://www.bbc.com/portuguese,pt,O que se sabe sobre ataque com 4 mortes em igreja mórmon nos EUA,What is known about attack with 4 Mormon Church deaths in the USA,0.0,Portuguese,Mormon Church,ORG
https://www.bbc.com/portuguese,pt,O que se sabe sobre ataque com 4 mortes em igreja mórmon nos EUA,What is known about attack with 4 Mormon Church deaths in the USA,0.0,Portuguese,USA,GPE
https://www.bbc.com/russian,ru,«Кремль будет повышать ставки». Замминистра обороны Украины прогнозирует усиление российских ударов,"""The Kremlin will increase bets."" Deputy Minister of Defense of Ukraine predicts the strengthening of Russian strokes",0.0,Russian,Kremlin,ORG
